city,state,zipcode,name,open_now,place_id,price_level,rating,user_ratings_total,searched_keyword,searched_zipcode,location_lat,location_lng,compound_code,global_code,art_gallery,atm,bakery,bar,beauty_salon,bicycle_store,book_store,cafe,car_dealer,car_repair,car_wash,clothing_store,convenience_store,department_store,drugstore,electronics_store,establishment,finance,florist,food,funeral_home,furniture_store,gas_station,general_contractor,grocery_or_supermarket,hair_care,hardware_store,health,home_goods_store,jewelry_store,laundry,liquor_store,local_government_office,locksmith,lodging,meal_delivery,meal_takeaway,movie_rental,night_club,park,parking,pet_store,pharmacy,point_of_interest,premise,restaurant,school,shoe_store,shopping_mall,spa,storage,store,supermarket,tourist_attraction,travel_agency
New York,NY,10001,Manhattan Halal,True,ChIJJV96O4tZwokRXxYqGt0EV_w,,4.8,64,restaurant,10001,40.7473847,-73.9923982,P2W5+X2 New York,87G8P2W5+X2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
New York,NY,10001,ILILI,True,ChIJMTEubKZZwokRgjl8iXjVcLA,3.0,4.4,1964,restaurant,10001,40.74435829999999,-73.98773609999999,P2V6+PW New York,87G8P2V6+PW,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
New York,NY,10001,Jongro BBQ,True,ChIJQ3Jl76hZwokRnS1-MQHYhZE,2.0,4.5,2852,restaurant,10001,40.7474977,-73.9868819,P2W7+X6 New York,87G8P2W7+X6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
New York,NY,10001,Friedman's,True,ChIJUQz7Iq9ZwokR9GUmlcrIeGs,2.0,4.3,2227,restaurant,10001,40.74825999999999,-73.9906026,P2X5+8Q New York,87G8P2X5+8Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
New York,NY,10001,Izakaya MEW,True,ChIJh_4leqlZwokRJxjh98xRrd4,2.0,4.5,1751,restaurant,10001,40.7501456,-73.9863258,Q227+3F New York,87G8Q227+3F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
New York,NY,10001,The NoMad Restaurant,True,ChIJHQsSC6ZZwokR8OmcTi9ehOw,4.0,4.7,619,restaurant,10001,40.7448942,-73.988622,P2V6+XH New York,87G8P2V6+XH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
New York,NY,10001,The Wilson NYC,True,ChIJO1mw5VlZwokR4wF8LFqcQLw,,4.4,155,restaurant,10001,40.7459278,-73.9926414,P2W4+9W New York,87G8P2W4+9W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
New York,NY,10001,Patiala Indian Grill,True,ChIJSS7DarJZwokR5oNJnfORDUQ,1.0,4.4,693,restaurant,10001,40.753466,-73.99595,Q233+9J New York,87G8Q233+9J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
New York,NY,10001,Niles,True,ChIJH3ONAK9ZwokRWj9ocQWnmuk,2.0,4.2,374,restaurant,10001,40.7487667,-73.9920106,P2X5+G5 New York,87G8P2X5+G5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
New York,NY,10001,Taco Bandito,True,ChIJI9B3ebBZwokRNUg_Y1UHTXM,1.0,4.2,229,restaurant,10001,40.7474801,-73.997115,P2W3+X5 New York,87G8P2W3+X5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
New York,NY,10001,OCabanon,True,ChIJnYSJ169ZwokRiH0bzxxTYWM,2.0,4.4,454,restaurant,10001,40.748786,-73.9947906,P2X4+G3 New York,87G8P2X4+G3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
New York,NY,10001,L'Amico,True,ChIJqyVsRq9ZwokRukmFQg8jzvg,3.0,4.2,821,restaurant,10001,40.7471585,-73.9899532,P2W6+V2 New York,87G8P2W6+V2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
New York,NY,10001,Smashburger,True,ChIJBbGfVahZwokRaOPyuUS-l4I,2.0,4.2,1038,restaurant,10001,40.7479226,-73.98580919999999,P2X7+5M New York,87G8P2X7+5M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
