Zip (ZCTA),Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Per capita income in the past 12 months (in 2018 Inflation-adjusted dollars),Population,Population Density (square miles) ,Housing Units,Median Value of Owner-occupied Units
11214,"$54,041 ","$25,960 ","92,946","42,853.40","33,770","$711,400 "
11215,"$123,583 ","$70,556 ","70,156","32,256.20","30,920","$1,138,500 "
11216,"$61,121 ","$38,741 ","56,308","60,233.50","27,273","$1,073,700 "
11217,"$107,362 ","$67,630 ","41,407","55,210.70","19,287","$1,163,200 "
11218,"$69,415 ","$31,494 ","74,508","52,159.70","26,025","$751,100 "
11219,"$39,295 ","$16,398 ","90,036","60,750.60","27,060","$864,700 "
11220,"$47,079 ","$20,151 ","95,643","54,809.20","30,370","$827,800 "
11221,"$50,153 ","$27,350 ","83,835","60,603.80","34,797","$784,600 "
11222,"$85,111 ","$51,177 ","36,492","23,779.00","18,656","$818,200 "
11223,"$50,108 ","$26,454 ","81,789","39,441.70","30,438","$752,200 "
11224,"$33,131 ","$22,454 ","46,707","29,449.70","20,334","$386,400 "
11225,"$55,862 ","$34,358 ","58,882","66,617.00","25,461","$776,200 "
11226,"$52,052 ","$26,057 ","100,277","77,771.10","40,323","$580,400 "
11228,"$67,911 ","$32,795 ","44,994","30,556.60","16,476","$864,600 "
11229,"$60,873 ","$31,040 ","83,615","38,722.50","33,104","$608,400 "
11230,"$49,541 ","$27,187 ","89,075","48,393.70","32,611","$770,600 "
11231,"$100,213 ","$65,277 ","37,845","26,621.30","16,878","$1,268,600 "
11232,"$56,661 ","$26,865 ","27,602","23,174.40","9,287","$705,600 "
11233,"$40,449 ","$24,714 ","76,819","56,952.70","32,088","$755,900 "
11234,"$81,399 ","$34,686 ","95,666","12,910.50","33,947","$556,500 "
11235,"$52,538 ","$31,978 ","78,128","34,812.00","35,319","$534,300 "
11236,"$67,669 ","$28,457 ","100,331","27,877.30","35,587","$517,700 "
11237,"$51,413 ","$24,493 ","49,310","50,124.00","17,987","$651,800 "
11238,"$85,407 ","$53,712 ","54,540","49,287.90","26,697","$886,100 "
11239,"$27,104 ","$19,805 ","13,244","21,455.70","6,962","$499,400 "
11354,"$42,500 ","$24,143 ","55,200","25,342.40","22,500","$498,400 "
11355,"$39,207 ","$21,007 ","80,853","46,594.60","30,432","$573,700 "
11356,"$60,493 ","$25,776 ","23,362","14,815.50","8,202","$626,300 "
11357,"$83,951 ","$38,271 ","39,902","14,196.30","15,973","$678,900 "
11358,"$66,129 ","$32,348 ","37,190","19,084.40","13,993","$752,600 "
11360,"$86,174 ","$47,627 ","19,621","14,080.80","9,501","$522,000 "
11361,"$85,887 ","$38,598 ","27,246","15,432.40","11,086","$682,500 "
11362,"$89,185 ","$41,235 ","18,721","7,397.80","7,484","$521,500 "
11363,"$104,792 ","$51,363 ","6,952","8,081.90","2,737","$809,800 "
11364,"$76,988 ","$37,342 ","36,806","14,915.30","14,231","$538,900 "
11365,"$66,483 ","$30,662 ","44,983","18,002.20","16,238","$661,800 "
11366,"$78,990 ","$33,892 ","14,650","13,403.30","5,028","$729,200 "
11367,"$57,933 ","$27,930 ","41,824","17,756.90","15,802","$479,700 "
11368,"$50,797 ","$17,595 ","112,425","42,754.60","30,734","$532,800 "
11369,"$54,121 ","$22,638 ","34,118","31,291.40","12,931","$567,000 "
11370,"$65,098 ","$24,012 ","32,514","21,817.00","10,406","$671,400 "
11372,"$56,383 ","$30,059 ","61,844","83,481.20","26,057","$325,000 "
11373,"$51,183 ","$22,873 ","93,967","61,733.70","33,886","$545,500 "
11374,"$63,161 ","$37,825 ","42,653","45,228.00","20,974","$361,400 "
11375,"$80,542 ","$49,852 ","73,488","36,942.90","35,281","$395,100 "
11377,"$57,010 ","$27,309 ","86,421","34,068.80","33,753","$528,700 "
11378,"$73,333 ","$32,412 ","37,279","14,466.80","13,871","$605,300 "
11379,"$82,819 ","$36,661 ","37,851","18,243.30","14,614","$646,300 "
11385,"$72,261 ","$29,257 ","106,717","29,513.30","38,325","$581,900 "
11411,"$93,882 ","$35,141 ","20,759","17,772.70","6,482","$432,300 "
11412,"$78,517 ","$30,304 ","37,458","22,742.10","11,871","$427,200 "
11413,"$86,324 ","$31,398 ","42,443","13,672.90","13,115","$446,800 "
11414,"$71,648 ","$37,839 ","29,219","12,637.70","11,409","$504,300 "
11415,"$68,294 ","$39,619 ","19,372","34,228.70","9,521","$348,100 "
11416,"$67,461 ","$22,831 ","27,125","40,992.10","7,768","$524,900 "
11417,"$73,424 ","$26,359 ","31,927","28,529.50","9,764","$481,900 "
