Zip (ZCTA),State,County,City,Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Margin of Error,Per capita income in the past 12 months (in 2018 Inflation-adjusted dollars),Margin of Error,Population,Population Density (square miles) ,Housing Units,Median Value of Owner-occupied Units
11004,New York,Queens,New York,"$92,657 ","$7,896 ","$38,823 ","$3,467 ","15,234","16,044.7","5,359","$523,700 "
11005,New York,Queens,New York,"$62,993 ","$21,656 ","$64,070 ","$17,443 ","1,749","9,533.7","1,613","$656,700 "
11101,New York,Queens,New York,"$65,392 ","$6,398 ","$46,327 ","$3,013 ","30,043","11,539.2","16,814","$924,200 "
11102,New York,Queens,New York,"$64,067 ","$3,442 ","$38,734 ","$2,086 ","30,800","39,056.5","16,259","$614,000 "
11103,New York,Queens,New York,"$71,437 ","$2,685 ","$39,470 ","$1,637 ","36,140","50,794.4","18,016","$792,600 "
11104,New York,Queens,New York,"$61,269 ","$5,621 ","$37,008 ","$2,157 ","26,119","67,304.0","12,690","$478,100 "
11105,New York,Queens,New York,"$73,959 ","$3,559 ","$40,501 ","$1,898 ","37,382","22,221.8","17,396","$808,700 "
11106,New York,Queens,New York,"$63,703 ","$3,347 ","$37,016 ","$1,729 ","38,363","44,876.4","19,074","$571,400 "
11109,New York,Queens,New York,"$148,590 ","$32,463 ","$87,893 ","$8,531 ","5,981","120,172.5","4,066","$797,400 "
11201,New York,Kings,New York,"$124,996 ","$4,594 ","$83,309 ","$3,486 ","62,823","44,643.3","30,741","$915,900 "
11203,New York,Kings,New York,"$51,277 ","$2,095 ","$25,917 ",$950 ,"75,451","35,174.8","30,926","$447,400 "
11204,New York,Kings,New York,"$49,785 ","$2,179 ","$22,425 ",$795 ,"76,978","48,471.8","25,732","$825,500 "
11205,New York,Kings,New York,"$56,708 ","$4,056 ","$31,851 ","$2,082 ","46,064","48,748.8","17,664","$715,000 "
11206,New York,Kings,New York,"$36,404 ","$2,362 ","$22,147 ",$951 ,"88,349","61,590.7","32,775","$655,200 "
11207,New York,Kings,New York,"$37,243 ","$1,913 ","$20,285 ",$709 ,"91,972","34,421.0","37,265","$470,400 "
11208,New York,Kings,New York,"$40,733 ","$1,497 ","$19,195 ",$746 ,"98,660","27,577.5","36,961","$466,200 "
11209,New York,Kings,New York,"$72,314 ","$2,583 ","$43,049 ","$1,539 ","67,809","31,953.0","33,223","$753,600 "
11210,New York,Kings,New York,"$65,900 ","$2,074 ","$30,110 ","$1,005 ","67,040","40,836.5","24,128","$623,100 "
11211,New York,Kings,New York,"$71,225 ","$4,878 ","$42,580 ","$1,785 ","102,624","44,382.0","42,322","$1,002,900 "
11212,New York,Kings,New York,"$26,239 ","$1,564 ","$18,772 ","$1,324 ","76,527","49,732.1","34,885","$425,400 "
11213,New York,Kings,New York,"$41,710 ","$1,962 ","$23,547 ",$986 ,"66,295","60,798.8","27,467","$776,300 "
11214,New York,Kings,New York,"$54,041 ","$2,111 ","$25,960 ",$926 ,"92,946","42,853.4","33,770","$711,400 "
11215,New York,Kings,New York,"$123,583 ","$4,672 ","$70,556 ","$2,443 ","70,156","32,256.2","30,920","$1,138,500 "
11216,New York,Kings,New York,"$61,121 ","$2,860 ","$38,741 ","$2,185 ","56,308","60,233.5","27,273","$1,073,700 "
11217,New York,Kings,New York,"$107,362 ","$8,051 ","$67,630 ","$3,722 ","41,407","55,210.7","19,287","$1,163,200 "
11218,New York,Kings,New York,"$69,415 ","$2,918 ","$31,494 ","$1,211 ","74,508","52,159.7","26,025","$751,100 "
11219,New York,Kings,New York,"$39,295 ","$2,024 ","$16,398 ",$712 ,"90,036","60,750.6","27,060","$864,700 "
11220,New York,Kings,New York,"$47,079 ","$2,852 ","$20,151 ",$687 ,"95,643","54,809.2","30,370","$827,800 "
11221,New York,Kings,New York,"$50,153 ","$2,149 ","$27,350 ","$1,175 ","83,835","60,603.8","34,797","$784,600 "
11222,New York,Kings,New York,"$85,111 ","$3,740 ","$51,177 ","$1,992 ","36,492","23,779.0","18,656","$818,200 "
11223,New York,Kings,New York,"$50,108 ","$2,992 ","$26,454 ","$1,066 ","81,789","39,441.7","30,438","$752,200 "
11224,New York,Kings,New York,"$33,131 ","$2,198 ","$22,454 ","$1,353 ","46,707","29,449.7","20,334","$386,400 "
11225,New York,Kings,New York,"$55,862 ","$3,686 ","$34,358 ","$2,123 ","58,882","66,617.0","25,461","$776,200 "
11226,New York,Kings,New York,"$52,052 ","$1,854 ","$26,057 ",$685 ,"100,277","77,771.1","40,323","$580,400 "
11228,New York,Kings,New York,"$67,911 ","$3,248 ","$32,795 ","$1,346 ","44,994","30,556.6","16,476","$864,600 "
11229,New York,Kings,New York,"$60,873 ","$2,727 ","$31,040 ",$992 ,"83,615","38,722.5","33,104","$608,400 "
11230,New York,Kings,New York,"$49,541 ","$1,921 ","$27,187 ","$1,169 ","89,075","48,393.7","32,611","$770,600 "
11231,New York,Kings,New York,"$100,213 ","$8,824 ","$65,277 ","$3,801 ","37,845","26,621.3","16,878","$1,268,600 "
11232,New York,Kings,New York,"$56,661 ","$6,284 ","$26,865 ","$2,845 ","27,602","23,174.4","9,287","$705,600 "
11233,New York,Kings,New York,"$40,449 ","$2,341 ","$24,714 ","$1,012 ","76,819","56,952.7","32,088","$755,900 "
11234,New York,Kings,New York,"$81,399 ","$2,556 ","$34,686 ","$1,290 ","95,666","12,910.5","33,947","$556,500 "
11235,New York,Kings,New York,"$52,538 ","$2,028 ","$31,978 ","$1,233 ","78,128","34,812.0","35,319","$534,300 "
11236,New York,Kings,New York,"$67,669 ","$3,399 ","$28,457 ",$798 ,"100,331","27,877.3","35,587","$517,700 "
11237,New York,Kings,New York,"$51,413 ","$4,440 ","$24,493 ","$1,244 ","49,310","50,124.0","17,987","$651,800 "
11238,New York,Kings,New York,"$85,407 ","$3,442 ","$53,712 ","$2,281 ","54,540","49,287.9","26,697","$886,100 "
11239,New York,Kings,New York,"$27,104 ","$4,882 ","$19,805 ","$2,087 ","13,244","21,455.7","6,962","$499,400 "
11354,New York,Queens,New York,"$42,500 ","$3,607 ","$24,143 ","$1,223 ","55,200","25,342.4","22,500","$498,400 "
11355,New York,Queens,New York,"$39,207 ","$2,365 ","$21,007 ",$880 ,"80,853","46,594.6","30,432","$573,700 "
11356,New York,Queens,New York,"$60,493 ","$4,425 ","$25,776 ","$1,740 ","23,362","14,815.5","8,202","$626,300 "
11357,New York,Queens,New York,"$83,951 ","$3,014 ","$38,271 ","$2,264 ","39,902","14,196.3","15,973","$678,900 "
11358,New York,Queens,New York,"$66,129 ","$3,457 ","$32,348 ","$1,334 ","37,190","19,084.4","13,993","$752,600 "
11360,New York,Queens,New York,"$86,174 ","$6,949 ","$47,627 ","$2,996 ","19,621","14,080.8","9,501","$522,000 "
11361,New York,Queens,New York,"$85,887 ","$5,172 ","$38,598 ","$1,629 ","27,246","15,432.4","11,086","$682,500 "
