zipcode,name,place_id,rating,user_ratings_total,price_level,searched_keyword,searched_zipcode,location_lat,location_lng,compound_code,global_code,art_gallery,atm,bakery,bank,bar,beauty_salon,bicycle_store,book_store,bowling_alley,cafe,car_dealer,car_repair,car_wash,clothing_store,convenience_store,dentist,department_store,drugstore,electronics_store,establishment,finance,florist,food,furniture_store,gas_station,general_contractor,grocery_or_supermarket,gym,hair_care,hardware_store,health,home_goods_store,hospital,insurance_agency,jewelry_store,laundry,liquor_store,locksmith,lodging,meal_delivery,meal_takeaway,movie_rental,movie_theater,moving_company,night_club,park,parking,pet_store,pharmacy,plumber,point_of_interest,premise,real_estate_agency,restaurant,school,shoe_store,shopping_mall,spa,storage,store,supermarket,tourist_attraction,veterinary_care,population,population_density_square_miles,housing_units,home_price_to_income_ratios,price_level*rating,avg_price_level_by_zipcode,avg_rating_by_zipcode,avg_user_ratings_total_by_zipcode,total_number_of_bars_by_zipcode,total_number_of_cafes_by_zipcode,user_ratings_total_per_capita,rating_weighed_population_density,open_now_False,open_now_True,open_now_nan
90277.0,Starbucks,ChIJAYMewFBL3YARNqltX2-Peak,4.2,122.0,2.0,coffee shops,90277,33.818476000000004,-118.385663,"RJ97+9P Redondo Beach, California",8553RJ97+9P,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,34506,9633.4,17607,9.991102941895367,8.4,1.8611111111111112,4.322033898305086,247.79661016949152,7,17,0.003535616994145946,40460.28,0,1,0
90278.0,Ulta Beauty,ChIJY6dEZfu0woAR_GrjBg3cbMc,4.2,236.0,,stores,90278,33.8684344,-118.35398329999998,"VJ9W+9C Redondo Beach, California",8553VJ9W+9C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,40649,11280.6,16305,7.022033898305085,,1.6206896551724137,4.255813953488373,526.1627906976744,2,11,0.005805800880710472,47378.520000000004,0,1,0
91790.0,Lobster & Steak Express,ChIJgY5MkC3WwoARplr2i7Xbkzg,4.6,107.0,,restaurant,91790,34.0587917,-117.935799,"3357+GM West Covina, California",85643357+GM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,45206,7831.3,12788,5.920476440707653,,1.6176470588235294,4.268,497.22,2,11,0.002366942441268858,36023.979999999996,0,1,0
90402.0,Fireside Cellars,ChIJz-WQBLGkwoARsk30kU4KZN4,4.5,13.0,2.0,stores,90402,34.032753,-118.49476899999999,"2GM4+43 Santa Monica, California",85632GM4+43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,11866,5921.6,5914,13.595183228990354,9.0,2.3,3.855555555555556,150.77777777777777,2,4,0.0010955671666947582,26647.2,0,1,0
90805.0,McDonald's,ChIJ-SKhhCIz3YARwAQnkg1x7J8,3.5,888.0,1.0,coffee shops,90805,33.8612655,-118.1681818,"VR6J+GP Long Beach, California",8553VR6J+GP,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,96708,13126.3,28113,7.593680372695969,3.5,1.3571428571428572,4.220454545454546,358.4318181818182,0,7,0.00918228067998511,45942.049999999996,0,1,0
90305.0,Red Tag Discount Warehouse,ChIJ77qH-0u2woARjYYjiqDm-mE,3.9,59.0,,stores,90305,33.9601214,-118.32819359999999,"XM6C+2P Inglewood, California",8553XM6C+2P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,15397,6661.6,6211,6.334364739423584,,1.4,3.8321428571428577,204.78571428571428,1,3,0.0038319153081769176,25980.24,0,1,0
91792.0,Pep Boys Auto Parts & Service,ChIJTYMicPcpw4AR5VNR-L3Weog,3.7,211.0,,stores,91792,34.029785,-117.912539,"23HP+WX West Covina, California",856423HP+WX,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,29839,7766.3,9079,5.972870572717986,,1.5416666666666667,4.216279069767442,160.7906976744186,1,7,0.0070712825496833005,28735.31,0,1,0
91108.0,Julienne Fine Foods And Celebrations,ChIJQT93QJXEwoARjuf9TS5jeZs,4.5,431.0,2.0,restaurant,91108,34.116275,-118.1370278,"4V87+G5 San Marino, California",85634V87+G5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,13538,3552.6,5171,11.722388660909846,9.0,1.7,4.0205882352941185,72.26470588235294,0,5,0.03183631260156596,15986.699999999999,0,1,0
91744.0,Merritt's Ace Hardware,ChIJIxkcV0fWwoARKBzq8ouCFN8,4.6,1166.0,,stores,91744,34.044000000000004,-117.9488,"23V2+HF La Puente, California",856423V2+HF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,87240,9925.4,19464,5.888831889918222,,1.368421052631579,4.343333333333334,339.1333333333333,1,5,0.013365428702430078,45656.84,0,1,0
90254.0,West Marine,ChIJASZFBJ20woAR7e3Gsug-ACo,4.6,45.0,2.0,stores,90254,33.8548578,-118.39064850000001,"VJ35+WP Hermosa Beach, California",8553VJ35+WP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,19650,13773.0,10049,9.893722483016008,9.2,1.8,4.4156862745098024,177.8235294117647,5,10,0.0022900763358778627,63355.799999999996,1,0,0
