zipcode,population,population_density_square_miles,housing_units,home_price_to_income_ratios
12461,1718,71.9,904,3.650039706917994
12463,1594,147.3,830,2.3974104356348818
12464,653,14.8,773,5.656993398928883
12465,199,68.9,386,4.357522123893805
12466,2402,2314.3,1086,2.939012369674168
12468,1069,24.5,806,3.5880754507408215
12469,605,17.8,629,3.311976960160277
12470,480,49.1,286,2.429176164115923
12472,1472,412.4,777,3.0033747439468295
12473,785,52.3,497,3.6273435989949103
12474,1082,24.5,870,2.9071648067281255
12477,18162,275.8,8751,3.5717248129531014
12481,1398,111.7,665,4.55732257298837
12482,369,166.9,282,1.0257996953541508
12484,2671,112.3,1386,4.5405658171615615
12485,1502,179.0,1300,4.757162555538533
12486,1558,459.3,630,2.338598062362615
12487,3483,221.8,1427,2.9467813153613758
12491,1535,170.8,777,3.150188357381477
12492,210,5.5,326,4.199222584318191
12493,233,33.8,188,2.280529358465524
12494,628,33.5,578,3.1820763785720527
12495,182,19.9,232,3.677458475513334
12496,1463,31.0,2245,3.6534364396748993
12498,5005,229.6,3314,3.9838940193491643
12501,2719,89.0,1140,4.183645332271209
12502,1223,37.4,808,4.155035980434838
12503,520,24.7,515,4.976616073221817
12507,236,169.4,81,8.078625448715714
12508,19747,1356.0,8075,3.4308541886969803
12513,354,121.2,160,3.2247408409494898
12514,2905,109.0,1393,3.181721513837391
12516,1640,107.5,1004,3.3462965787199432
12518,5988,603.5,2640,4.035396411553923
12520,2947,745.5,1060,2.9544268980888697
12521,1431,43.5,1354,2.919648093841642
12522,4833,129.3,2215,4.562515801551956
12523,1512,69.1,878,3.6855249671579737
12524,15964,984.5,6378,3.4613311115467553
12525,2858,121.6,1277,3.985897053676747
12526,3639,113.7,1945,3.870866430244579
12528,12871,312.2,5645,3.520177144398234
12529,2730,41.4,1875,3.7816221855168215
12531,3323,190.0,1362,2.8584049079754603
12533,25406,522.6,9592,3.325295581829496
12534,17967,206.6,9220,3.9772494782928924
12538,13996,530.6,5323,2.985616834627235
12540,8071,236.9,2942,2.974417419984286
12542,5537,386.8,2587,3.422826116613462
12543,3395,295.6,1537,2.9077325610097255
12545,4750,87.7,2496,4.220255875556558
12546,2815,61.7,1646,4.188034188034188
12547,2899,280.1,1181,2.361080020892627
12548,1213,206.6,593,4.486508541929075
12549,11235,289.5,4106,3.0300045958899613
12550,54988,1583.6,22302,3.897333581319852
12553,26465,1072.8,10150,3.2092655424883287
12561,18731,314.8,7328,4.461208199794401
12563,8555,374.9,2800,3.381700443698285
12564,6995,172.2,3036,3.4843011328159843
12565,1165,802.7,693,3.8357468557398406
12566,11003,202.3,4476,3.3023096393166
12567,2951,64.3,1575,4.151394422310757
12569,10268,310.8,4334,3.3627150718358605
12570,7322,340.9,2657,3.2455984349991107
12571,9999,172.7,4532,3.7626683282257347
12572,8596,169.9,4185,5.053776836510112
12575,2028,205.0,828,2.570446940281266
12577,1972,335.9,663,2.197005916452519
12578,2206,140.9,933,2.705968039072876
12580,4434,205.7,1879,3.5857031946401356
12581,2313,57.2,1284,3.6851701513195545
12582,6272,490.9,1483,3.448082214859325
12583,2465,189.3,1083,3.876341086880376
12585,870,176.7,371,4.484174570296886
12586,12129,511.5,4603,2.901842375983647
12589,17017,293.2,5178,3.0994473756595236
12590,34711,1007.4,14053,3.19502820795217
12592,1243,66.3,678,4.708904109589041
12594,4357,181.0,1786,3.5620128381476386
12601,41539,2208.4,17955,4.555257826285864
12603,42589,1317.9,16869,3.009469606389593
12701,11626,202.2,6469,3.34010500488088
12719,1284,74.5,798,3.204705882352941
12721,6394,252.2,2689,3.239614748516393
12723,1561,49.3,1207,3.007380413376769
12725,130,1.9,282,1.9402985074626866
12726,1266,43.2,1004,3.2262198442956462
12729,1791,80.7,850,2.8749567024593
12732,689,27.5,622,3.7885283631932847
12733,1642,322.4,1126,4.837375087518299
12734,903,65.6,637,2.8607959085823875
12737,1782,49.8,1295,2.455456076588955
12738,328,50.0,192,3.3514478059858868
12740,1958,26.3,1198,3.2233362167987862
12741,175,21.2,229,1.9789473684210526
12742,90,41.8,100,9.545352456123464
12743,413,50.4,331,3.964764935533611
12745,143,89.0,158,4.76039603960396
12746,1004,70.8,504,2.4337015558525312
12747,1992,142.8,942,2.3387886925282144
12748,2160,98.5,1343,2.504406779661017
12750,417,98.0,115,3.293105178643115
12751,926,271.0,499,3.082594400717346
12752,251,144.9,240,4.109023833794476
12754,6608,248.7,3322,2.732851194389656
12758,3908,25.6,3180,2.645441293400477
12759,2000,323.3,1381,2.959543850122183
12760,416,9.8,456,2.6689507494646683
12764,1583,26.6,1410,4.080622956461883
12765,1095,87.6,419,2.6047948061901915
12766,452,56.2,315,2.6786003301718835
12767,136,46.0,108,2.0190659811482434
12768,794,22.8,962,2.1946175597540902
12771,14757,426.1,6842,3.482606262903008
12775,1986,189.5,1550,2.242985086482515
12776,2214,20.2,2177,3.2257482219574714
12777,850,16.1,572,2.8071005917159764
12779,1959,228.2,1592,7.2294790659974435
12780,2097,88.0,1054,3.669189189189189
12783,1992,59.9,1229,2.344766452682899
12785,1119,67.1,550,2.1468699839486356
12787,377,107.4,219,1.3188127537691605
12788,2717,115.6,1392,2.225637872732862
12789,1952,203.5,1769,2.453857276516118
12790,3956,89.1,2745,2.4500444535132853
12791,485,74.0,431,2.2707070707070707
12792,205,60.4,232,5.411147540983607
12801,14381,3642.1,7285,3.1226152418273694
12803,8525,1440.4,3829,2.8973281637817756
12804,26272,494.7,12055,2.9957453683757
12808,328,14.8,618,4.333868378812199
12809,3493,69.0,1868,2.7608651929863055
12810,747,11.2,430,2.0283870967741935
12812,104,1.7,308,2.1385159010600705
12814,1354,29.8,1728,6.25579613725253
12815,1072,29.2,1163,3.410622182984062
12816,4269,67.6,2512,3.2245532245532247
12817,2119,39.6,2116,3.075881414131644
12819,323,11.1,256,2.166016413292076
12821,2766,498.5,125,1.6605879085046256
12822,6123,93.0,2912,2.711929353979064
12824,970,64.0,1056,3.780149945510169
12827,3665,29.7,1781,2.372710005514368
12828,8546,184.5,3991,2.664683062784829
12831,17228,256.4,6452,2.862352743587898
12832,6569,81.7,3372,2.617616625938401
12833,4182,118.7,1918,2.958819913952059
12834,6286,72.5,2773,2.5912603250732746
12835,2328,23.9,2997,3.2398409500205054
12836,698,15.9,727,4.5377844666393035
12837,1059,71.6,425,1.8236516977369142
12838,530,104.3,278,2.6345631067961164
12839,13265,407.6,6139,2.7516413666206665
12841,107,6.3,319,7.6923076923076925
12842,811,4.3,1545,2.1005385996409336
12843,420,7.1,487,3.8094657605217446
12845,4647,104.9,3743,4.205421206484188
12846,3243,55.8,2129,3.047006858907602
12847,413,0.9,1376,4.0
12850,3204,68.5,1496,2.8184984206689885
12851,368,3.3,401,2.1963172861666296
12852,428,3.5,709,3.25
12853,1577,18.1,1262,3.5572602739726027
12855,242,1.3,314,2.9373493975903613
12856,137,2.2,275,3.091144606688648
12857,629,14.7,528,2.6211460961305333
12858,113,11.5,354,4.84472049689441
12859,2489,113.0,952,2.8001233287552205
12860,597,37.1,596,2.0745408072281997
12861,612,18.7,690,3.219753086419753
12863,729,203.0,248,2.7480603930806895
12865,3688,51.0,2004,2.5606843303893796
12866,39178,584.6,19951,4.243240882833652
12870,1576,14.7,1906,4.178046946126747
12871,4492,151.0,1789,2.440207972270364
12873,856,40.5,438,2.9148518642607573
12874,153,7.1,391,6.77639344262295
12878,621,7.3,589,2.468847631701799
12883,4885,61.2,2777,2.4857426233573023
12884,539,1082.1,256,2.1882969191536286
12885,4432,61.7,2721,3.2476231633535004
12887,4919,58.8,2128,2.032048090575501
12901,32846,432.4,14872,2.8946668575987564
12903,1215,2103.0,742,2.2098151449751335
12910,2006,30.9,724,1.665195409678196
12912,2119,23.5,1155,1.952380148833128
12913,1162,42.8,743,2.6642809068076234
12914,902,28.3,447,1.5445333333333333
12916,2056,49.6,1005,1.8574918839318586
12917,1332,30.9,618,2.005714285714286
12918,2208,56.5,1047,2.1901709401709404
12919,3121,81.4,1371,2.0480309673342023
12920,2339,25.2,1518,1.67221577943212
12921,2464,74.2,1127,1.7378375743394754
12923,589,11.2,331,1.4935960591133004
12926,2192,45.2,1121,1.6933115180665892
12927,262,2.4,610,1.9252593226750552
12928,1858,24.6,1159,2.35226310765296
12929,3916,3288.8,379,2.023076017424748
12930,756,20.9,377,1.5887946367492134
12932,1194,18.7,779,3.245648475330454
12934,967,16.4,420,1.7886240478987456
12935,1651,16.7,908,2.3468845611270908
12936,409,13.3,514,3.5376
12937,2045,62.5,832,1.800348735832607
12939,211,51.0,124,1.8190218693315994
12941,1345,33.2,1050,2.4664295787601938
12942,846,16.0,711,3.918230716411078
12943,373,3.6,584,5.766887417218543
12944,4100,45.5,2190,2.069329373143661
12945,581,17.5,634,2.7496024578142126
12946,4790,37.0,3610,4.053630233652187
12950,735,15.6,403,1.5120358050078626
12953,15569,74.0,5572,2.0058529447628337
12955,381,12.4,375,1.4628571428571429
12956,1370,152.0,557,1.315327074652342
12957,1899,59.4,835,2.068447695400489
12958,2362,63.7,1147,1.9013646627613967
12959,1108,28.7,640,2.991367195342301
12960,1099,36.1,547,1.6683382665916486
12962,5831,135.0,2427,2.033357698185926
12965,596,62.5,242,1.915151515151515
12966,2685,31.2,1281,1.5774358974358975
12967,1186,31.5,500,1.3865693943921948
12969,410,4.2,606,2.328159645232816
12970,984,19.6,324,3.2995555555555556
12972,6034,72.9,2568,2.273120636935326
12973,86,2.4,108,1.8572972972972972
12974,1602,199.3,856,1.9274545658096056
12975,264,92.6,176,3.2223736534548104
12976,213,5.6,223,3.0937704918032787
12979,2223,653.8,1144,2.4127817753981518
12980,1276,5.0,1299,1.6021361815754338
12981,2301,21.7,1206,1.6771362447777343
12983,7371,35.0,4941,3.2692095891919672
12985,1277,23.1,613,2.5018770132480808
12986,6071,26.8,3915,2.124038154675366
12987,198,31.9,113,3.110871698185806
12989,1024,6.9,817,2.599346565149182
12992,4517,71.1,2235,2.181417554168197
12993,1387,19.2,1251,3.171791981967477
12996,2079,40.9,1706,2.2171903009717897
12997,1199,18.4,857,3.749153550134606
13020,110,235.2,47,1.5405940594059406
13021,38114,317.1,18779,2.4560521379256994
13026,1734,61.6,865,2.4870573008589245
13027,32949,484.2,14603,2.0942616963918144
13029,7243,408.5,3165,2.487864077669903
13030,4057,304.6,1822,2.0648967551622417
13031,15451,635.7,6510,2.138838837462003
13032,12057,147.9,5840,2.1121397261665003
13033,3801,61.7,1651,1.7910804790168493
13034,1987,81.8,1101,1.9880194137966216
13035,8851,118.4,3786,2.7864750336363753
13036,8798,180.3,4039,2.1741098097427636
13037,9442,230.6,3751,1.9534235188437663
13039,16837,745.4,7017,1.8891576863866286
13040,2434,25.3,1361,1.875084572113433
13041,11453,627.2,4449,1.6589213101568434
13042,2604,77.7,1315,1.9777833721442508
13044,2621,94.4,1183,1.8183794527780366
13045,29223,274.2,12219,2.2588476273565226
13052,1522,31.4,1059,1.7844281186977817
13053,4980,150.0,1998,2.5465316769087933
13054,1665,75.3,685,2.2142586603735106
13057,13772,494.6,6633,1.9779895360089224
13060,2809,175.7,1220,2.309337611122251
13061,1073,41.3,766,2.7016635859519407
13063,1988,57.2,784,1.8476791347453807
13066,12550,838.3,5400,2.6046304541406946
13068,5160,100.9,2321,2.552885766743833
13069,24511,228.6,10460,1.707991171733641
13071,895,36.1,402,1.6792269927139685
13072,738,15.7,465,1.5446378742326319
13073,6475,117.9,2840,2.102361858405782
13074,4078,96.0,1703,1.533763741057407
13076,2314,151.2,909,1.7599897786437537
13077,7135,101.1,3097,2.1475500931585656
13078,10607,272.4,4112,2.2654566080544525
13080,3329,118.7,1665,2.26682039356692
13081,1105,38.2,680,2.080849680286117
13082,4380,185.8,1939,1.9919724257300169
13083,2069,35.7,876,1.691851851851852
13084,3734,86.8,1601,2.344698308313999
13087,66,321.6,47,4.024
13088,21986,2764.3,10667,2.2635477716858876
13090,29758,1975.8,12588,2.0646271304908868
13092,2479,51.1,1098,1.720023159589341
13101,2301,58.8,1013,1.7158271084721957
13104,15515,328.4,6484,2.318804459313082
13108,6050,207.4,2603,2.3610368786745055
13110,2038,82.9,1177,2.1889570552147237
13111,1616,60.7,698,2.389795718893559
13112,1843,91.0,771,2.0427655024946545
13113,304,585.3,103,1.221811073099211
13114,6120,97.3,2813,1.7870024263886157
13115,185,399.0,110,2.2553935860058307
13116,3504,2652.8,1531,2.394376248929489
13117,264,324.1,115,1.569090909090909
13118,6039,58.9,2897,2.112549765072989
13120,2250,131.6,869,1.5625
13122,1289,68.9,458,2.8916943521594685
13123,511,216.0,158,1.1483630264756721
13124,94,20.1,68,1.8082191780821917
13126,36335,360.6,15703,2.096774193548387
13131,3736,70.6,1512,1.8299455247430496
13132,3397,143.2,1650,1.8262313226342004
13134,208,2519.8,69,1.080156211224743
13135,6689,209.4,2917,2.107994162477704
13136,407,21.8,279,1.4748107543722266
13140,4509,86.3,2028,1.585561888060792
13141,577,44.0,303,1.8034667346418558
13142,6338,89.9,3385,2.326369761430569
13143,2706,62.6,1255,1.6577243293246993
13144,1986,51.7,902,1.8939754449414676
13145,1566,93.9,1089,2.003720930232558
13146,2354,43.3,945,1.6054473961829865
13147,1147,32.0,479,2.07001293758086
13148,10605,176.6,5118,1.9596914834325165
13152,8208,126.9,4649,3.1114131900616027
13153,382,427.2,198,3.4331658291457288
13155,586,28.7,347,1.0664957165335975
13156,1896,63.3,1297,1.641518533829406
13157,552,995.0,686,2.0741347002950743
13158,1539,21.6,738,1.9776001127038354
13159,5348,68.5,2303,2.3788226085984236
13160,2055,96.5,968,2.1097177225589436
13163,473,891.0,156,2.822731576282009
13164,2587,240.9,916,1.889751855137053
13165,10559,155.3,4835,1.6062430647772543
13166,5572,136.5,2391,2.1410137955204385
13167,3215,94.2,1448,2.4900731064682526
13202,6581,6596.9,2841,5.472752678155566
13203,16528,9723.8,8744,2.961056590966939
13204,18728,4264.0,10120,2.29198997254387
13205,17479,5066.9,8810,2.463428535241593
13206,16360,4139.9,8606,2.2655363137936866
13207,13135,4250.7,6281,1.7105054036872218
13208,22738,5447.4,10367,2.247804168182527
13209,12940,1018.3,6132,2.1573834903772693
13210,28234,6183.4,9735,4.845360824742268
13211,6145,1304.7,2698,1.812529080834144
13212,21349,2015.5,9239,2.012853775584609
13214,8685,2375.9,3216,2.1422258570882087
13215,14892,438.8,6074,2.2608556504246247
13219,14781,2979.9,6718,2.107245770215232
13224,8296,2784.6,4178,2.7469709029804545
13301,108,44.2,134,3.0570212765957447
13302,1722,39.0,998,1.597943444730077
13303,1113,31.4,512,2.2851501015940245
13304,1593,91.6,811,2.156452006734093
13305,249,259.5,121,2.4596542967149997
13308,3106,80.4,1457,1.7740444646245155
13309,5823,40.1,2769,2.0243404902672615
13310,624,82.3,428,2.329045069936108
13312,391,6.1,790,4.722962962962963
13313,484,215.0,236,1.8419920404431538
13314,373,96.3,203,1.4385068061582358
13315,1543,31.4,766,2.0680003292994154
13316,6179,38.1,3110,2.3965418600216135
13317,3954,85.7,1682,1.9289280699017006
13318,1305,51.4,539,1.966971096090663
13319,811,914.8,328,1.887088460073063
13320,2102,27.3,1152,2.7927213855675665
13321,917,1136.6,500,1.6111034982283734
13322,902,74.3,579,2.1195698924731183
13323,11097,291.7,4452,2.5962642809647587
13324,2382,20.0,1565,1.8443978305648467
13325,1067,13.8,690,1.9323943661971832
13326,5584,58.5,3555,4.382770724666208
13327,2056,15.4,1244,2.1809151926295143
13328,1554,98.0,614,1.7613035474141872
13329,4330,81.8,1946,1.82074042000433
13331,120,1.5,935,7.221931144049893
13332,2939,59.8,1275,1.805355824167282
13334,1121,38.5,766,1.7210281076206222
13335,1519,39.8,726,2.3051724137931036
13337,595,32.2,312,4.058045617776471
13338,1121,4.6,1562,2.3694993764475325
13339,6396,59.1,2848,1.7281082513093273
13340,8075,139.5,3546,1.8255403427193662
13341,107,581.0,50,0.9072449993519679
13342,202,25.4,108,2.2789178946656063
13343,1772,31.5,1286,1.8270319603833218
13346,6045,159.9,2168,2.9830710716682827
13348,1419,38.4,829,2.795544141462058
13350,9827,323.0,4939,1.8650326999649274
13354,3944,75.7,1563,1.8819802405498283
13355,897,30.8,412,1.5737764570319608
13357,10855,344.1,4931,1.625461550810724
13360,163,2.6,1034,6.947368421052632
13361,813,28.7,376,1.8443718991497446
13363,2279,107.6,1036,1.78173719376392
13364,106,35.9,112,1.9643253176187307
13365,8469,63.2,4141,1.8303571428571428
13367,8617,19.0,4162,2.6411369181769078
13368,1063,23.3,582,2.1148294664813427
13402,1774,69.9,954,1.4342040413997044
13403,7258,271.8,1852,2.1697974036191976
13404,158,53.6,106,1.854970760233918
13406,710,65.1,369,1.9089655172413793
13407,5155,95.0,2303,1.7395200249337697
13408,3775,100.3,1158,2.356671363939776
13409,2519,73.1,1033,1.6910525509422398
13410,281,2554.7,106,1.1841326228537596
13411,3189,46.6,1692,1.7656792315763985
13413,16382,823.8,7322,2.2665895061728394
13416,2346,45.1,1093,2.3010565086750026
13417,3317,2538.2,1876,3.3734602463605823
13418,324,62.1,107,0.9978246476875059
13420,933,4.3,2927,4.5174950261923446
13421,13291,316.4,6049,2.1305402508509
13424,2468,221.4,1039,2.1416211215241487
13425,2113,82.8,964,1.9907928388746803
13428,1754,111.2,763,2.476513698293247
13431,1773,48.1,774,2.333088038533583
13433,1844,42.3,816,1.7839991825891488
13435,287,1377.9,132,1.3809790787571188
13436,123,3.2,594,3.8202247191011236
13437,423,4.4,711,2.4078052273540997
13438,3253,37.9,2131,2.2865443589605636
13439,3518,40.9,2401,2.881682453042222
13440,41243,365.3,18627,2.023856634066369
13450,42,17.6,49,2.665211970074813
13452,4553,59.7,2152,2.0734856975780906
13454,571,13.3,372,1.9678217821782178
13456,3962,141.1,1694,2.3112990449890694
13459,2405,47.2,1226,2.6524048711740686
13460,4279,59.8,2077,2.250599240608362
13461,3031,1307.3,1271,2.4238972216948294
13464,1378,35.9,695,1.9695656361359914
13468,471,48.4,229,2.7084536082474227
13469,926,230.5,353,1.7832292705754855
13470,649,9.7,687,2.1393548387096772
13471,3313,35.3,1504,1.9677188758042063
13473,642,13.9,435,1.8785336494619733
13476,3736,174.9,1513,2.335912228135295
13477,1437,71.0,705,3.017777777777778
13478,2760,77.1,1254,1.922343670564311
13480,3398,63.2,1577,2.0487926757446506
13483,324,46.8,110,2.1875
13484,297,116.5,100,1.1620720748102895
13485,1009,22.8,581,1.884115884115884
13486,864,29.3,394,2.0351219512195122
13488,151,36.1,105,1.713170731707317
13489,679,15.9,382,1.992530417372555
13490,1757,148.5,709,2.8718726777309884
