zipcode,total_art_gallery,total_atm,total_bakery,total_bar,total_beauty_salon,total_bicycle_store,total_book_store,total_cafe,total_car_dealer,total_car_repair,total_car_wash,total_clothing_store,total_convenience_store,total_department_store,total_drugstore,total_electronics_store,total_finance,total_florist,total_food,total_funeral_home,total_furniture_store,total_gas_station,total_general_contractor,total_grocery_or_supermarket,total_hair_care,total_hardware_store,total_health,total_home_goods_store,total_jewelry_store,total_laundry,total_liquor_store,total_local_government_office,total_locksmith,total_lodging,total_meal_delivery,total_meal_takeaway,total_movie_rental,total_night_club,total_park,total_parking,total_pet_store,total_pharmacy,total_restaurant,total_school,total_shoe_store,total_shopping_mall,total_spa,total_storage,total_store,total_supermarket,total_tourist_attraction,total_travel_agency,total_open_now_False,total_open_now_True,total_open_now_nan,mean_price_level,population,population_density_square_miles,housing_units,home_price_to_income_ratios,price_level*rating,rating_weighed_population_density,log_mean_user_ratings_total,log_mean_rating,log_user_ratings_total_per_capita
10037,0,0,1,0,0,0,1,2,0,0,0,3,1,0,0,1,0,0,25,0,1,0,0,6,0,1,0,1,0,0,3,0,0,0,6,2,0,0,0,0,0,0,16,0,1,0,0,0,21,0,0,0,2,28,6,1.25,21139,82131.9,10583,9.37146155724784,4.576388888888888,300694.01166666666,4.359198602117681,1.2977666836122967,-5.5996763524980055
11433,0,0,1,0,0,0,0,2,0,3,0,2,0,0,0,0,0,0,14,0,1,0,1,3,0,2,1,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,16,1,0,0,5,18,2,1.0,36489,23550.9,11574,7.9870344131519175,3.636,85631.0724,4.7730546949842765,1.2908841763152323,-5.73171142930227
11420,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,23,0,1,0,0,5,0,0,0,1,0,0,1,0,0,0,7,1,0,1,0,0,0,0,17,0,0,0,0,0,13,1,0,0,2,24,2,1.4285714285714286,48489,23340.9,14180,7.036448212918802,5.627551020408163,91946.47392857143,5.744947267557234,1.370999416084253,-5.044144979520684
11356,0,0,6,2,0,0,0,5,0,1,0,2,4,2,2,0,0,0,31,0,3,0,0,3,0,0,2,4,1,0,0,0,0,0,10,1,0,0,0,0,0,0,21,0,0,0,0,0,21,1,0,0,4,33,2,1.45,23362,14815.5,8202,10.353264014018151,5.651282051282051,57742.46153846153,5.470545419846947,1.36031887471663,-4.5883206298686945
10012,0,1,3,7,0,1,1,19,0,0,0,8,4,1,3,1,2,1,47,0,0,0,0,1,0,0,3,1,0,0,2,0,0,0,1,1,0,1,0,0,0,1,26,0,3,1,0,0,39,1,0,0,0,59,0,2.13953488372093,23411,72416.2,14052,15.310399222282346,9.044067796610168,306111.8691525423,6.346735964190652,1.4415205893402165,-3.7142253121696664
11208,0,0,6,3,0,0,0,9,0,0,0,5,2,0,3,1,0,0,36,0,2,0,0,4,0,3,3,5,0,0,1,0,0,0,11,0,0,1,0,0,0,2,28,0,2,0,0,0,28,1,0,0,4,42,2,1.2962962962962965,98660,27577.5,36961,11.445265509537721,5.133873456790123,109218.39062499999,5.70051324766349,1.3763492385864924,-5.79892162712424
10457,0,0,3,2,0,0,0,8,0,0,0,3,3,0,3,1,0,1,34,0,1,0,0,3,0,0,4,1,0,0,3,0,0,0,5,0,0,0,0,0,1,1,26,0,0,0,1,1,28,1,0,0,4,41,3,1.238095238095238,74554,70392.0,25867,13.7345003646973,4.795039682539682,272622.35000000003,5.3670463143213,1.3540078838195075,-5.8522326596971155
11224,0,0,3,4,0,0,0,8,0,1,0,3,1,1,1,2,0,0,32,0,1,0,0,1,0,0,2,2,0,0,3,0,0,0,2,0,0,1,0,1,0,0,25,0,2,0,0,0,28,0,0,0,10,33,6,1.4347826086956519,46707,29449.7,20334,11.662793154447494,5.791836734693877,118880.62571428575,6.085103572498684,1.3954361210779853,-4.666545752859101
11222,0,0,3,8,0,1,1,14,0,0,0,7,3,0,1,3,0,0,37,0,4,0,0,1,0,2,2,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,26,0,0,0,0,0,33,0,1,0,6,47,0,1.875,36492,23779.0,18656,9.613328476930127,8.182783018867925,103775.14528301886,5.368177786134589,1.4734236556852716,-5.136670551330776
10018,0,0,6,8,0,0,1,20,0,0,0,6,8,1,1,3,3,0,48,0,3,0,0,0,0,1,1,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,38,0,0,0,4,55,0,1.891304347826087,9687,30002.0,5940,6.827405108617809,7.658179808400885,121482.67457627121,6.403068963130232,1.3985076104260445,-2.7754710962961533
