Zip (ZCTA),Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Population,Population Density (square miles) ,Housing Units,Median Value of Owner-occupied Units
91342,"$70,106 ","96,487","1,750.80","26,263","$429,100 "
91343,"$62,791 ","66,590","11,264.90","18,357","$485,500 "
91344,"$92,286 ","53,266","3,245.90","17,690","$593,900 "
91345,"$75,969 ","19,205","5,925.90","5,516","$441,800 "
91350,"$112,664 ","37,350","2,204.10","11,735","$504,600 "
91351,"$80,397 ","32,572","3,403.10","10,149","$412,300 "
91352,"$55,177 ","47,438","4,065.60","13,081","$454,500 "
91354,"$126,753 ","32,096","3,678.50","10,475","$574,100 "
91355,"$92,707 ","31,455","2,029.20","12,221","$529,300 "
91356,"$74,561 ","30,804","4,199.90","12,669","$878,100 "
91364,"$103,278 ","27,340","3,600.70","11,449","$808,600 "
91367,"$87,699 ","45,282","6,093.90","19,188","$666,000 "
91381,"$128,310 ","20,371",541.6,"6,837","$670,900 "
91384,"$108,102 ","28,842",265.6,"7,138","$491,800 "
91387,"$90,433 ","43,717",882.7,"13,800","$487,800 "
91390,"$116,298 ","19,053",133.1,"6,427","$576,500 "
91401,"$54,058 ","41,412","11,992.50","15,582","$645,400 "
91402,"$42,857 ","70,686","18,966.00","20,159","$385,300 "
91403,"$95,944 ","25,218","6,945.30","12,025","$921,900 "
91405,"$43,548 ","55,384","16,737.90","18,751","$457,300 "
91406,"$55,542 ","55,215","6,790.00","18,838","$497,400 "
91411,"$54,555 ","25,801","12,632.70","10,115","$621,400 "
91423,"$83,732 ","33,737","7,732.40","16,333","$890,300 "
91436,"$149,423 ","15,070","2,646.30","5,970","$1,228,000 "
91501,"$70,326 ","20,300","5,116.80","8,296","$704,500 "
91502,"$38,147 ","11,598","8,640.30","5,579","$501,600 "
91504,"$75,825 ","26,863","5,442.60","9,791","$720,600 "
91505,"$84,651 ","30,680","6,086.90","13,431","$667,400 "
91506,"$79,148 ","18,575","7,588.20","7,769","$680,400 "
91601,"$52,607 ","37,085","13,992.50","18,338","$607,600 "
91602,"$81,917 ","19,358","9,450.60","10,302","$728,400 "
91604,"$103,470 ","32,117","6,235.50","15,756","$1,088,000 "
91605,"$47,000 ","52,210","9,554.90","16,636","$458,300 "
91606,"$46,397 ","44,476","13,346.10","16,203","$532,400 "
91607,"$62,139 ","30,873","12,655.40","14,443","$762,400 "
91702,"$62,514 ","62,348",368.2,"16,587","$389,800 "
