zipcode,total_art_gallery,total_atm,total_bakery,total_bank,total_bar,total_beauty_salon,total_bicycle_store,total_book_store,total_bowling_alley,total_cafe,total_car_dealer,total_car_repair,total_car_wash,total_clothing_store,total_convenience_store,total_dentist,total_department_store,total_drugstore,total_electronics_store,total_finance,total_florist,total_food,total_furniture_store,total_gas_station,total_general_contractor,total_grocery_or_supermarket,total_gym,total_hair_care,total_hardware_store,total_health,total_home_goods_store,total_hospital,total_insurance_agency,total_jewelry_store,total_laundry,total_liquor_store,total_locksmith,total_lodging,total_meal_delivery,total_meal_takeaway,total_movie_rental,total_movie_theater,total_moving_company,total_night_club,total_park,total_parking,total_pet_store,total_pharmacy,total_plumber,total_real_estate_agency,total_restaurant,total_school,total_shoe_store,total_shopping_mall,total_spa,total_storage,total_store,total_supermarket,total_tourist_attraction,total_veterinary_care,total_open_now_False,total_open_now_True,total_open_now_nan,mean_user_ratings_total,mean_rating,mean_price_level,mean_Unnamed: 0,population,population_density_square_miles,housing_units,price_level*rating,user_ratings_total_per_capita,rating*population_density,log_home_price_to_income_ratios
91340,0,0,0,0,1,0,0,0,0,2,0,2,0,2,4,0,0,2,2,0,0,32,2,0,0,6,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,19,1,0,0,2,37,0,288.20512820512823,4.223076923076921,1.75,11133.589743589744,36227,10714.3,9288,7.390384615384613,0.00795553394443725,45247.313076923056,2.0085853438039893
90804,0,0,0,0,3,0,0,0,0,5,0,2,0,4,3,0,0,2,1,1,0,23,3,0,0,1,0,0,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,22,0,0,0,2,33,1,348.91666666666674,4.35,1.5263157894736843,8282.638888888889,39344,18608.9,15728,6.639473684210526,0.008868357733496004,80948.715,2.25745848656923
90810,0,0,4,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,26,2,0,0,6,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,20,3,0,0,4,30,1,138.54285714285714,4.268571428571428,1.2727272727272727,8504.0,38579,5761.3,9578,5.432727272727272,0.003591146923011409,24592.52057142857,1.8911637326529591
90067,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,5,5,1,64.45454545454545,4.181818181818182,1.8,3267.818181818182,2314,7051.6,1962,7.527272727272727,0.027854168303606507,29488.50909090909,2.0859474847069204
91101,0,0,2,0,7,0,0,1,0,17,0,1,0,5,2,0,2,2,1,0,1,45,4,0,0,4,0,0,0,5,5,0,0,1,0,2,0,0,1,4,0,0,0,1,0,0,0,1,0,0,27,0,3,0,0,0,34,1,0,0,3,53,0,378.5,4.3875,1.930232558139535,9420.089285714286,21394,16085.4,12253,8.46889534883721,0.017691876226979528,70574.6925,2.0768922528021685
90029,0,1,1,0,0,0,0,0,0,9,0,0,0,4,1,0,0,1,3,1,0,14,1,0,1,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,23,0,0,0,5,19,2,175.5,4.2807692307692315,1.7272727272727273,1283.6923076923074,37898,27830.5,15214,7.394055944055945,0.004630851232255,119135.9480769231,2.832091615584308
91105,0,0,3,0,12,0,0,0,0,14,0,0,0,3,1,0,0,1,2,1,1,36,1,0,1,4,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0,3,0,0,0,28,2,0,0,0,45,0,503.08888888888885,4.35777777777778,2.189189189189189,9558.266666666666,12191,3302.1,6153,9.540000000000004,0.04126723721506758,14389.818000000008,2.1853551232072634
93532,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0.5,2.5,,15255.5,2871,25.3,1186,,0.00017415534656913968,63.25,1.4365423308548788
90042,0,0,2,0,4,0,2,0,0,12,0,0,0,5,2,0,0,2,0,0,0,38,2,0,0,5,0,0,1,2,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,22,0,3,0,0,0,29,0,0,0,11,36,1,271.5,4.331249999999999,1.5862068965517242,2297.4166666666665,63911,13752.0,21653,6.870258620689654,0.004248095007119275,59563.349999999984,2.2672199576573986
91767,0,0,1,0,0,0,0,0,0,4,0,4,0,2,5,0,2,2,2,0,0,28,2,1,0,3,0,0,0,2,4,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,17,0,1,1,0,0,26,3,0,0,4,35,0,462.79487179487177,4.176923076923076,1.4166666666666667,14407.46153846154,50264,8940.4,14686,5.917307692307692,0.009207282981753776,37343.36307692307,1.8471991596812052
