Zip (ZCTA),Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Population,Population Density (square miles) ,Housing Units,Median Value of Owner-occupied Units
10303,"$62,558 ","25,947","8,253.80","9,175","$333,200 "
10304,"$52,199 ","41,064","11,014.60","15,972","$471,400 "
10305,"$76,489 ","42,298","10,631.30","16,068","$440,500 "
10306,"$79,569 ","53,142","7,109.40","21,594","$480,900 "
10307,"$80,893 ","15,232","8,280.80","5,541","$662,600 "
10308,"$93,963 ","30,186","15,330.90","11,294","$494,000 "
10309,"$103,175 ","33,531","5,037.60","11,875","$570,200 "
10310,"$72,093 ","23,262","12,957.80","9,376","$451,500 "
10312,"$95,064 ","61,741","8,143.60","22,465","$518,000 "
10314,"$86,742 ","90,761","6,634.50","33,268","$485,300 "
10451,"$28,921 ","47,798","46,447.40","19,884","$135,600 "
10452,"$28,277 ","76,078","76,975.80","27,121","$238,000 "
10453,"$25,275 ","79,606","86,902.90","28,530","$427,200 "
10454,"$21,149 ","38,203","36,451.70","13,942","$430,200 "
10455,"$26,801 ","42,283","59,295.00","15,066","$330,000 "
10456,"$27,106 ","94,218","92,585.00","32,349","$345,200 "
10457,"$27,420 ","74,554","70,392.00","25,867","$376,600 "
10458,"$33,932 ","83,960","83,517.60","29,042","$383,400 "
10459,"$27,687 ","48,351","58,950.10","17,792","$389,400 "
10460,"$26,866 ","59,505","45,341.20","21,458","$412,700 "
10461,"$56,612 ","50,348","21,026.20","20,277","$451,100 "
10462,"$52,409 ","76,756","52,066.90","31,120","$300,000 "
10463,"$58,551 ","71,360","49,208.90","29,973","$287,400 "
10464,"$93,365 ","4,434","1,277.00","2,157","$531,800 "
10465,"$74,796 ","44,205","13,012.40","16,842","$462,100 "
10466,"$51,477 ","72,479","35,994.60","25,110","$422,700 "
10467,"$37,015 ","103,732","44,413.50","38,530","$335,400 "
10468,"$36,046 ","78,647","73,450.80","27,515","$194,000 "
10469,"$63,652 ","73,870","29,873.70","23,659","$438,900 "
10470,"$57,160 ","15,432","10,792.20","6,404","$424,400 "
10471,"$85,707 ","21,896","8,515.10","9,668","$345,500 "
10472,"$30,977 ","68,796","65,283.50","23,392","$451,900 "
10473,"$41,638 ","59,609","27,869.90","21,955","$381,600 "
10474,"$25,493 ","12,127","7,928.80","4,067","$427,800 "
10475,"$50,832 ","43,208","25,123.60","19,080","$27,600 "
10501,"$197,321 ","1,394",996.1,454,"$689,600 "
10502,"$163,902 ","5,567","2,625.70","2,007","$649,600 "
10504,"$208,275 ","8,254",505.3,"3,045","$1,012,600 "
10506,"$222,500 ","5,693",348.2,"2,238","$989,400 "
10507,"$64,500 ","7,068",967.3,"2,322","$567,600 "
10509,"$102,372 ","19,461",539.1,"7,319","$355,400 "
10510,"$167,847 ","10,381","1,047.50","3,852","$718,500 "
10511,"$109,375 ","2,158","1,471.30",972,"$374,300 "
10512,"$97,363 ","24,716",452.9,"10,255","$305,100 "
10514,"$250,001 ","12,389",966,"4,185","$959,800 "
10516,"$102,841 ","5,542",175.9,"2,502","$507,900 "
10517,"$72,067 ",420,"1,279.50",175,"$400,000 "
10518,"$198,255 ","1,231",357.1,447,"$766,200 "
10519,"$148,375 ",220,295.7,125,"$556,500 "
10520,"$105,670 ","13,152",955.4,"5,490","$534,300 "
10522,"$138,477 ","11,027","4,539.30","3,858","$644,600 "
10523,"$98,700 ","9,077","2,511.00","3,230","$441,600 "
10524,"$122,419 ","4,227",203.2,"1,715","$453,600 "
10526,"$125,801 ","1,572",477.4,682,"$496,400 "
10527,"$161,583 ",774,316.6,267,"$620,900 "
10528,"$120,846 ","13,128","3,430.80","4,753","$753,000 "
10530,"$108,817 ","12,791","3,341.70","6,099","$410,800 "
10532,"$99,167 ","4,968","2,613.20","1,737","$544,700 "
10533,"$144,121 ","7,551","2,123.90","2,917","$702,600 "
10536,"$175,833 ","10,853",423.5,"3,891","$739,000 "
10537,"$103,021 ","2,106","1,955.50",983,"$244,400 "
10538,"$177,553 ","16,545","4,602.70","5,940","$976,700 "
10541,"$107,258 ","26,656","1,070.90","9,527","$377,100 "
10543,"$99,124 ","20,715","5,070.40","7,924","$624,700 "
10546,"$199,250 ","1,496","1,332.10",513,"$688,700 "
10547,"$117,721 ","7,737","1,530.30","2,624","$368,200 "
10548,"$84,444 ","3,817","1,629.30","1,461","$361,500 "
10549,"$109,450 ","16,465",858.1,"6,278","$556,700 "
10550,"$47,955 ","37,817","19,057.20","14,663","$355,900 "
10552,"$74,427 ","19,569","11,806.50","8,932","$372,100 "
10553,"$71,477 ","10,429","15,060.70","3,712","$359,400 "
10560,"$134,076 ","4,825",231.4,"2,070","$580,400 "
10562,"$76,793 ","31,772","2,303.00","11,710","$399,400 "
10566,"$54,332 ","23,951","5,478.50","10,658","$284,500 "
10567,"$126,907 ","20,563",928.9,"7,198","$403,700 "
10570,"$134,545 ","12,893","1,978.00","4,409","$668,100 "
10573,"$82,150 ","38,861","7,097.00","13,373","$522,900 "
10576,"$205,905 ","4,891",217.4,"2,220","$893,900 "
10577,"$202,583 ","6,373",946.5,890,"$1,085,600 "
10578,"$110,972 ",868,548.1,280,"$514,500 "
10579,"$103,750 ","8,483",258.8,"3,815","$392,500 "
10580,"$183,871 ","17,391","2,049.60","6,375","$1,379,800 "
10583,"$201,232 ","40,013","3,236.70","14,595","$927,800 "
10588,"$103,516 ","2,808","1,438.50","1,205","$353,100 "
10589,"$103,239 ","8,751","1,094.50","4,062","$467,400 "
10590,"$144,722 ","7,060",523.1,"2,935","$559,400 "
10591,"$95,339 ","23,077","2,334.40","9,158","$595,200 "
10594,"$147,115 ","5,215","2,086.60","1,667","$621,800 "
10595,"$110,448 ","8,341","1,402.20","2,456","$614,100 "
10596,"$93,533 ","1,310","2,107.60",582,"$314,000 "
10597,"$250,001 ",851,254.9,395,"$881,900 "
10598,"$124,555 ","29,492","1,112.10","11,229","$436,900 "
10601,"$65,435 ","11,612","18,312.10","6,135","$363,900 "
10603,"$99,005 ","17,843","5,422.40","7,194","$418,900 "
10604,"$93,692 ","11,045","1,626.30","4,196","$663,100 "
10605,"$111,399 ","18,643","3,669.10","7,663","$637,200 "
10606,"$79,882 ","16,600","10,988.80","6,016","$552,200 "
10607,"$132,141 ","7,194","3,242.00","2,469","$499,700 "
10701,"$44,559 ","59,312","13,989.20","25,782","$346,200 "
10703,"$64,456 ","21,854","12,510.30","8,085","$347,600 "
10704,"$73,165 ","32,223","12,062.80","13,126","$414,100 "
10705,"$48,540 ","40,733","18,408.60","15,405","$399,200 "
10706,"$144,414 ","8,734","3,018.20","3,379","$666,700 "
10707,"$101,419 ","10,316","7,946.20","4,225","$570,600 "
10708,"$106,875 ","21,935","7,126.00","9,754","$412,400 "
10709,"$117,833 ","9,663","7,091.20","3,959","$646,100 "
10710,"$87,760 ","26,410","5,765.60","10,614","$443,000 "
10801,"$64,769 ","41,759","12,220.30","15,286","$481,600 "
10803,"$152,932 ","12,544","5,732.10","4,210","$771,600 "
10804,"$191,773 ","14,753","3,404.00","5,258","$730,800 "
10805,"$71,439 ","19,215","11,135.80","7,884","$351,200 "
10901,"$95,744 ","23,538","1,306.80","9,371","$392,800 "
10913,"$140,375 ","5,610","1,358.60","1,645","$514,100 "
10914,"$133,047 ",395,161.7,177,"$357,800 "
10916,"$101,793 ","4,361",215.9,"1,475","$331,300 "
10917,"$109,750 ","1,855",500.8,607,"$340,100 "
10918,"$103,597 ","12,287",373.2,"4,183","$305,000 "
10919,"$102,738 ","1,491",362.2,500,"$241,300 "
10920,"$115,745 ","9,008","2,157.30","3,085","$441,800 "
10921,"$89,239 ","3,911",482.2,"1,492","$274,200 "
10922,"$86,607 ","1,562",672.4,718,"$254,600 "
10923,"$80,149 ","8,244","4,191.80","2,702","$339,100 "
10924,"$101,801 ","13,389",349.2,"4,780","$325,500 "
10925,"$90,709 ","3,878",984.7,"2,376","$260,300 "
10926,"$80,625 ","3,467",668.9,"1,461","$229,300 "
10927,"$61,336 ","12,081","6,144.40","3,816","$248,200 "
10928,"$82,500 ","4,057",748.1,"2,005","$217,800 "
10930,"$131,111 ","8,990",647.7,"3,131","$312,400 "
10931,"$70,833 ","1,017",159.1,375,"$318,200 "
10933,"$94,808 ",422,386.4,178,"$251,100 "
10940,"$61,367 ","49,068",756.1,"20,361","$209,800 "
10941,"$73,056 ","13,176",411.4,"5,204","$255,700 "
10950,"$76,637 ","50,895","1,398.20","13,848","$322,200 "
10952,"$56,594 ","41,834","4,584.60","9,644","$603,000 "
10954,"$105,698 ","23,354","3,394.50","8,803","$387,500 "
10956,"$133,297 ","31,619","1,954.80","10,720","$495,500 "
10958,"$100,714 ","3,365",147.2,"1,177","$290,700 "
10960,"$84,983 ","15,684","3,748.80","6,901","$497,300 "
10962,"$110,833 ","5,314",906.7,"1,819","$471,900 "
10963,"$74,306 ","4,276",337.4,"1,129","$212,900 "
10964,"$124,844 ","1,283",525.2,604,"$692,200 "
10965,"$110,650 ","15,517","2,955.40","5,757","$450,800 "
10968,"$115,208 ","2,363","4,068.30","1,257","$581,200 "
10969,"$102,688 ","1,379",123.6,474,"$281,100 "
10970,"$91,174 ","10,055",729.7,"3,793","$329,500 "
10973,"$95,156 ","2,123",252.9,738,"$280,200 "
10974,"$95,446 ","3,175",342,"1,194","$313,100 "
10976,"$63,875 ","2,357","2,052.70",731,"$424,400 "
10977,"$55,145 ","64,882","5,856.30","17,004","$404,500 "
10980,"$105,437 ","13,943",571.9,"5,204","$366,100 "
10983,"$110,250 ","6,178","3,037.90","2,029","$474,300 "
10984,"$129,315 ","2,780","1,736.10",887,"$385,400 "
10985,"$176,143 ",189,735.2,54,"$268,600 "
10986,"$150,625 ","1,791",165.8,580,"$467,900 "
10987,"$105,069 ","3,342",90.1,"1,530","$474,400 "
10988,"$80,972 ",889,286.2,414,"$228,700 "
10989,"$117,368 ","9,300","1,885.70","3,714","$412,900 "
10990,"$101,357 ","20,010",328.9,"7,857","$339,600 "
10992,"$97,000 ","8,951",807.1,"3,347","$263,000 "
10993,"$50,559 ","5,433","4,699.50","1,655","$240,100 "
10994,"$148,342 ","7,326","1,199.70","2,621","$497,900 "
10998,"$90,567 ","3,157",169.1,"1,105","$319,400 "
11001,"$108,438 ","27,867","12,496.60","9,508","$552,900 "
11003,"$97,338 ","45,263","10,900.80","12,988","$386,900 "
11004,"$92,657 ","15,234","16,044.70","5,359","$523,700 "
11005,"$62,993 ","1,749","9,533.70","1,613","$656,700 "
11010,"$108,952 ","25,068","10,553.00","8,131","$463,800 "
11020,"$135,938 ","5,728","2,916.20","1,982","$951,500 "
11021,"$99,170 ","18,185","7,790.10","8,536","$623,400 "
11023,"$116,250 ","9,215","5,564.30","3,048","$893,800 "
11024,"$106,250 ","8,101","2,298.90","2,309","$1,644,500 "
11030,"$187,159 ","18,578","2,780.00","6,808","$1,274,100 "
11040,"$124,378 ","41,877","8,749.40","13,223","$611,700 "
11050,"$122,845 ","30,132","3,016.30","12,121","$820,500 "
11096,"$56,917 ","8,311","6,727.80","2,654","$376,600 "
11101,"$65,392 ","30,043","11,539.20","16,814","$924,200 "
11102,"$64,067 ","30,800","39,056.50","16,259","$614,000 "
11103,"$71,437 ","36,140","50,794.40","18,016","$792,600 "
11104,"$61,269 ","26,119","67,304.00","12,690","$478,100 "
11105,"$73,959 ","37,382","22,221.80","17,396","$808,700 "
11106,"$63,703 ","38,363","44,876.40","19,074","$571,400 "
11109,"$148,590 ","5,981","120,172.50","4,066","$797,400 "
11201,"$124,996 ","62,823","44,643.30","30,741","$915,900 "
11203,"$51,277 ","75,451","35,174.80","30,926","$447,400 "
11204,"$49,785 ","76,978","48,471.80","25,732","$825,500 "
11205,"$56,708 ","46,064","48,748.80","17,664","$715,000 "
11206,"$36,404 ","88,349","61,590.70","32,775","$655,200 "
11207,"$37,243 ","91,972","34,421.00","37,265","$470,400 "
11208,"$40,733 ","98,660","27,577.50","36,961","$466,200 "
11209,"$72,314 ","67,809","31,953.00","33,223","$753,600 "
11210,"$65,900 ","67,040","40,836.50","24,128","$623,100 "
11211,"$71,225 ","102,624","44,382.00","42,322","$1,002,900 "
11212,"$26,239 ","76,527","49,732.10","34,885","$425,400 "
11213,"$41,710 ","66,295","60,798.80","27,467","$776,300 "
11214,"$54,041 ","92,946","42,853.40","33,770","$711,400 "
11215,"$123,583 ","70,156","32,256.20","30,920","$1,138,500 "
11216,"$61,121 ","56,308","60,233.50","27,273","$1,073,700 "
11217,"$107,362 ","41,407","55,210.70","19,287","$1,163,200 "
11218,"$69,415 ","74,508","52,159.70","26,025","$751,100 "
11219,"$39,295 ","90,036","60,750.60","27,060","$864,700 "
11220,"$47,079 ","95,643","54,809.20","30,370","$827,800 "
11221,"$50,153 ","83,835","60,603.80","34,797","$784,600 "
11222,"$85,111 ","36,492","23,779.00","18,656","$818,200 "
11223,"$50,108 ","81,789","39,441.70","30,438","$752,200 "
11224,"$33,131 ","46,707","29,449.70","20,334","$386,400 "
11225,"$55,862 ","58,882","66,617.00","25,461","$776,200 "
11226,"$52,052 ","100,277","77,771.10","40,323","$580,400 "
11228,"$67,911 ","44,994","30,556.60","16,476","$864,600 "
11229,"$60,873 ","83,615","38,722.50","33,104","$608,400 "
11230,"$49,541 ","89,075","48,393.70","32,611","$770,600 "
11231,"$100,213 ","37,845","26,621.30","16,878","$1,268,600 "
11232,"$56,661 ","27,602","23,174.40","9,287","$705,600 "
11233,"$40,449 ","76,819","56,952.70","32,088","$755,900 "
11234,"$81,399 ","95,666","12,910.50","33,947","$556,500 "
11235,"$52,538 ","78,128","34,812.00","35,319","$534,300 "
11236,"$67,669 ","100,331","27,877.30","35,587","$517,700 "
11237,"$51,413 ","49,310","50,124.00","17,987","$651,800 "
11238,"$85,407 ","54,540","49,287.90","26,697","$886,100 "
11239,"$27,104 ","13,244","21,455.70","6,962","$499,400 "
11354,"$42,500 ","55,200","25,342.40","22,500","$498,400 "
11355,"$39,207 ","80,853","46,594.60","30,432","$573,700 "
11356,"$60,493 ","23,362","14,815.50","8,202","$626,300 "
11357,"$83,951 ","39,902","14,196.30","15,973","$678,900 "
11358,"$66,129 ","37,190","19,084.40","13,993","$752,600 "
11360,"$86,174 ","19,621","14,080.80","9,501","$522,000 "
11361,"$85,887 ","27,246","15,432.40","11,086","$682,500 "
11362,"$89,185 ","18,721","7,397.80","7,484","$521,500 "
11363,"$104,792 ","6,952","8,081.90","2,737","$809,800 "
11364,"$76,988 ","36,806","14,915.30","14,231","$538,900 "
11365,"$66,483 ","44,983","18,002.20","16,238","$661,800 "
11366,"$78,990 ","14,650","13,403.30","5,028","$729,200 "
11367,"$57,933 ","41,824","17,756.90","15,802","$479,700 "
11368,"$50,797 ","112,425","42,754.60","30,734","$532,800 "
11369,"$54,121 ","34,118","31,291.40","12,931","$567,000 "
11370,"$65,098 ","32,514","21,817.00","10,406","$671,400 "
11372,"$56,383 ","61,844","83,481.20","26,057","$325,000 "
11373,"$51,183 ","93,967","61,733.70","33,886","$545,500 "
11374,"$63,161 ","42,653","45,228.00","20,974","$361,400 "
11375,"$80,542 ","73,488","36,942.90","35,281","$395,100 "
11377,"$57,010 ","86,421","34,068.80","33,753","$528,700 "
11378,"$73,333 ","37,279","14,466.80","13,871","$605,300 "
11379,"$82,819 ","37,851","18,243.30","14,614","$646,300 "
11385,"$72,261 ","106,717","29,513.30","38,325","$581,900 "
11411,"$93,882 ","20,759","17,772.70","6,482","$432,300 "
11412,"$78,517 ","37,458","22,742.10","11,871","$427,200 "
11413,"$86,324 ","42,443","13,672.90","13,115","$446,800 "
11414,"$71,648 ","29,219","12,637.70","11,409","$504,300 "
11415,"$68,294 ","19,372","34,228.70","9,521","$348,100 "
11416,"$67,461 ","27,125","40,992.10","7,768","$524,900 "
11417,"$73,424 ","31,927","28,529.50","9,764","$481,900 "
11418,"$66,570 ","38,517","23,607.60","11,769","$522,500 "
11419,"$70,882 ","49,618","44,324.60","13,338","$481,500 "
11420,"$67,932 ","48,489","23,340.90","14,180","$478,000 "
11421,"$72,066 ","41,002","31,780.50","12,746","$477,600 "
11422,"$89,235 ","32,082","16,006.80","10,356","$438,900 "
11423,"$70,266 ","31,400","22,185.50","10,499","$475,000 "
11426,"$88,803 ","20,801","15,418.10","6,584","$542,700 "
11427,"$74,581 ","24,037","15,203.60","7,983","$488,000 "
11428,"$73,699 ","18,929","22,762.20","5,973","$472,200 "
11429,"$83,240 ","27,403","21,179.70","7,752","$434,500 "
11432,"$55,906 ","62,053","28,870.20","20,030","$583,900 "
11433,"$51,521 ","36,489","23,550.90","11,574","$411,500 "
11434,"$62,207 ","65,791","20,129.50","22,575","$402,400 "
11435,"$64,086 ","59,296","38,792.20","19,742","$393,300 "
11436,"$75,242 ","20,077","25,310.90","6,008","$396,600 "
11501,"$96,079 ","19,393","9,461.90","7,791","$476,900 "
11507,"$129,613 ","7,286","6,751.80","2,513","$671,500 "
11509,"$141,250 ","2,153","2,556.70","1,296","$750,500 "
11510,"$108,761 ","33,484","7,990.80","11,149","$387,100 "
11514,"$89,074 ","4,597","5,124.50","1,780","$498,400 "
11516,"$107,440 ","7,670","8,771.70","2,263","$499,700 "
11518,"$100,082 ","10,101","7,350.90","4,361","$420,100 "
11520,"$76,388 ","43,408","8,652.10","14,778","$324,800 "
11530,"$160,598 ","28,454","4,011.40","9,779","$776,500 "
11542,"$78,339 ","27,773","4,169.30","10,690","$492,600 "
11545,"$160,464 ","12,390","1,079.50","4,506","$847,400 "
11547,"$81,500 ",776,"1,784.20",268,"$524,200 "
11548,"$133,699 ","2,963","3,235.90",552,"$673,900 "
11550,"$64,097 ","57,652","13,535.30","17,897","$320,000 "
11552,"$117,069 ","25,178","7,367.50","7,468","$431,000 "
11553,"$73,424 ","25,869","7,365.70","6,722","$330,500 "
11554,"$105,192 ","37,358","5,977.80","12,801","$432,100 "
11557,"$126,287 ","7,480","3,700.40","2,987","$558,900 "
11558,"$90,753 ","8,217","5,526.00","3,121","$427,900 "
11559,"$108,750 ","8,181","1,963.60","3,018","$815,000 "
11560,"$129,250 ","6,365",848.4,"2,577","$742,500 "
11561,"$96,163 ","37,662","9,650.30","18,365","$498,600 "
11563,"$97,169 ","21,965","9,163.20","8,440","$442,700 "
11565,"$120,890 ","8,696","7,790.50","3,233","$444,900 "
11566,"$149,367 ","33,401","6,139.80","11,655","$526,200 "
11568,"$192,266 ","4,704",526.5,"1,208","$2,000,001 "
11569,"$153,398 ","1,080","2,768.10",609,"$780,800 "
11570,"$118,309 ","27,722","7,534.30","10,641","$608,300 "
11572,"$115,096 ","29,846","6,270.90","10,597","$460,300 "
11575,"$80,574 ","16,546","9,292.80","4,737","$296,300 "
11576,"$162,715 ","12,099","2,660.70","4,799","$955,200 "
11577,"$139,896 ","12,808","4,203.80","4,629","$800,800 "
11579,"$121,354 ","5,209","4,640.00","2,070","$673,000 "
11580,"$109,470 ","43,714","11,210.50","13,804","$393,900 "
11581,"$108,800 ","21,275","7,791.50","7,233","$453,000 "
11590,"$102,789 ","46,560","6,993.20","14,842","$442,600 "
11596,"$126,017 ","10,561","7,925.20","3,654","$596,900 "
11598,"$141,088 ","13,715","6,886.30","4,122","$696,600 "
11691,"$46,147 ","67,094","24,372.60","22,126","$462,500 "
11692,"$44,024 ","20,991","20,937.30","7,411","$381,900 "
11693,"$59,431 ","12,919","13,101.50","5,453","$310,800 "
11694,"$80,976 ","21,354","15,980.50","9,492","$651,300 "
11697,"$103,580 ","3,540","1,363.90","2,553","$570,900 "
11701,"$82,983 ","28,149","6,028.30","9,152","$343,000 "
11702,"$123,929 ","13,788","1,514.40","5,504","$447,800 "
11703,"$99,189 ","15,952","5,122.80","5,642","$345,300 "
11704,"$90,089 ","40,285","4,992.80","13,288","$347,200 "
11705,"$108,664 ","7,565","2,123.70","2,860","$431,600 "
11706,"$86,808 ","68,773","4,035.90","21,406","$326,700 "
11709,"$105,469 ","6,708","4,438.90","2,705","$536,200 "
11710,"$132,281 ","34,237","7,006.80","11,725","$475,100 "
11713,"$73,380 ","9,710","1,948.20","3,726","$329,200 "
11714,"$106,693 ","22,714","5,258.00","8,288","$428,200 "
11715,"$119,344 ","4,832","2,854.30","1,735","$415,300 "
11716,"$90,830 ","9,957","1,140.20","3,725","$375,700 "
11717,"$76,767 ","63,054","5,780.90","14,872","$294,900 "
11718,"$122,857 ","3,069","3,287.60","1,166","$498,800 "
11719,"$87,813 ","3,604",595.7,"1,298","$414,000 "
11720,"$106,013 ","28,556","3,496.50","9,457","$343,300 "
11721,"$139,226 ","6,086","2,444.40","2,484","$607,100 "
11722,"$69,360 ","32,524","4,462.30","10,359","$263,100 "
11724,"$250,001 ","3,160",818.8,"1,083","$1,107,400 "
11725,"$128,369 ","29,578","3,034.60","10,170","$472,300 "
11726,"$73,720 ","20,558","8,139.90","6,350","$298,000 "
11727,"$82,468 ","29,823","3,273.80","12,224","$299,300 "
11729,"$89,858 ","27,419","4,376.20","9,235","$358,800 "
11730,"$122,646 ","13,860","1,812.10","4,849","$403,800 "
11731,"$117,068 ","30,357","3,619.60","10,748","$479,500 "
11732,"$116,786 ","3,764","2,460.90","1,543","$631,300 "
11733,"$146,802 ","16,545","1,401.60","6,119","$482,800 "
11735,"$105,454 ","33,454","3,202.20","12,120","$408,100 "
11738,"$105,182 ","17,352","3,253.90","5,584","$351,400 "
11739,"$142,917 ","1,027","1,278.00",337,"$636,700 "
11740,"$112,500 ","9,070","2,445.90","3,538","$549,200 "
11741,"$105,410 ","27,149","3,631.90","9,626","$365,100 "
11742,"$101,012 ","12,566","2,513.90","4,653","$348,700 "
11743,"$123,071 ","41,938","1,653.30","16,596","$600,400 "
11746,"$111,002 ","68,491","2,867.30","22,940","$481,600 "
11747,"$122,964 ","18,922","1,438.50","7,934","$623,000 "
11749,"$95,379 ","3,345","1,533.30","1,069","$317,400 "
11751,"$104,381 ","14,559","3,620.40","5,428","$371,000 "
11752,"$107,470 ","9,564","2,576.00","3,228","$352,800 "
11753,"$168,627 ","12,596","3,248.00","4,496","$800,700 "
11754,"$105,500 ","18,086","2,452.40","7,153","$444,000 "
11755,"$109,490 ","12,510","3,853.80","4,446","$405,100 "
11756,"$120,805 ","43,099","7,803.90","13,823","$378,000 "
11757,"$87,225 ","44,115","6,522.30","15,569","$347,600 "
11758,"$114,681 ","53,424","4,863.20","19,726","$461,200 "
11762,"$126,693 ","22,606","7,388.30","7,886","$460,400 "
11763,"$87,500 ","29,018","2,097.80","9,949","$312,800 "
11764,"$123,149 ","12,723","1,386.30","4,569","$434,700 "
11765,"$237,813 ",723,295.5,297,"$2,000,001 "
11766,"$117,283 ","12,414","2,014.00","4,342","$450,800 "
11767,"$121,968 ","15,783","3,776.20","5,320","$449,400 "
11768,"$126,841 ","21,158","1,400.20","8,633","$637,900 "
11769,"$95,987 ","8,706","2,054.70","4,043","$413,100 "
11770,"$120,625 ",57,130.9,"1,209","$675,000 "
11771,"$124,659 ","9,500",887.7,"4,170","$818,900 "
11772,"$75,856 ","45,964","2,842.40","18,508","$313,800 "
11776,"$100,350 ","24,666","3,581.70","8,420","$353,800 "
11777,"$112,372 ","8,951","2,048.80","3,669","$524,000 "
11778,"$92,731 ","11,641","1,701.10","4,746","$290,600 "
11779,"$93,777 ","38,063","3,034.90","13,136","$339,300 "
11780,"$120,595 ","15,753","1,363.70","6,048","$499,200 "
11782,"$111,581 ","14,915","2,687.60","6,752","$440,600 "
11783,"$128,015 ","21,265","5,996.80","7,144","$456,500 "
11784,"$91,162 ","24,992","4,572.90","8,281","$304,900 "
11786,"$127,092 ","6,111","1,061.70","1,961","$415,200 "
11787,"$125,369 ","34,099","2,270.40","12,423","$484,600 "
11788,"$109,036 ","16,228","1,887.00","6,066","$468,300 "
11789,"$98,148 ","8,380","4,925.00","3,163","$304,200 "
11790,"$137,090 ","17,694","2,470.30","4,940","$455,900 "
11791,"$168,902 ","26,121","2,013.40","8,642","$686,000 "
11792,"$134,803 ","8,688",881.7,"3,324","$427,300 "
11793,"$130,957 ","31,238","3,292.70","10,661","$459,000 "
11795,"$115,506 ","24,982","4,410.40","8,121","$416,800 "
11796,"$101,250 ","3,826","2,808.90","1,185","$383,500 "
11797,"$169,099 ","8,737","1,700.80","3,306","$845,400 "
11798,"$79,771 ","15,033","3,153.60","4,200","$301,100 "
11801,"$106,151 ","40,340","6,079.60","13,469","$427,500 "
11803,"$144,444 ","28,018","4,631.90","10,043","$566,700 "
11804,"$133,281 ","4,916","1,705.00","1,804","$562,800 "
11901,"$63,461 ","27,486",498.3,"11,924","$307,100 "
11930,"$100,474 ",893,96.9,"2,517","$1,483,300 "
11932,"$104,444 ","1,138",131.8,"2,217","$975,600 "
