zipcode,total_accounting,total_airport,total_amusement_park,total_art_gallery,total_atm,total_bakery,total_bank,total_bar,total_beauty_salon,total_bicycle_store,total_book_store,total_bowling_alley,total_cafe,total_campground,total_car_dealer,total_car_rental,total_car_repair,total_car_wash,total_casino,total_cemetery,total_church,total_clothing_store,total_convenience_store,total_courthouse,total_dentist,total_department_store,total_doctor,total_drugstore,total_electrician,total_electronics_store,total_finance,total_fire_station,total_florist,total_food,total_funeral_home,total_furniture_store,total_gas_station,total_general_contractor,total_grocery_or_supermarket,total_gym,total_hair_care,total_hardware_store,total_health,total_home_goods_store,total_hospital,total_insurance_agency,total_jewelry_store,total_laundry,total_library,total_liquor_store,total_local_government_office,total_locksmith,total_lodging,total_meal_delivery,total_meal_takeaway,total_movie_rental,total_movie_theater,total_moving_company,total_museum,total_natural_feature,total_night_club,total_painter,total_park,total_parking,total_pet_store,total_pharmacy,total_place_of_worship,total_plumber,total_post_office,total_primary_school,total_real_estate_agency,total_restaurant,total_roofing_contractor,total_route,total_rv_park,total_school,total_shoe_store,total_shopping_mall,total_spa,total_stadium,total_storage,total_store,total_subpremise,total_supermarket,total_tourist_attraction,total_train_station,total_transit_station,total_travel_agency,total_university,total_veterinary_care,total_zoo,total_open_now_False,total_open_now_True,total_open_now_nan,mean_price_level,mean_rating,mean_user_ratings_total
10553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,11,0,1,0,0,2,0,0,0,2,3,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,9,5,12,1.0,3.003846153846154,49.46153846153846
10559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,4.9,13.0
10560,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,1,0,2,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,17,4,7,2.2,3.3035714285714293,73.35714285714286
10562,0,0,0,0,0,2,0,3,0,0,0,0,6,0,0,0,4,0,0,0,0,2,2,0,0,1,0,2,0,0,0,0,0,31,0,4,0,0,5,0,0,1,2,6,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,26,0,2,0,0,0,0,0,0,0,16,28,0,1.75,4.1909090909090905,145.97727272727272
10566,0,0,0,0,1,6,0,9,0,1,1,0,15,0,0,0,2,0,0,0,0,2,5,0,0,0,0,4,0,0,1,0,0,49,0,1,1,1,5,0,0,1,4,2,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,31,0,1,0,0,0,0,0,0,0,27,31,1,1.7333333333333334,4.188135593220339,147.54237288135593
10567,0,0,0,0,0,3,0,4,0,0,1,0,3,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20,0,2,0,1,1,0,0,0,1,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,23,12,1,1.4,4.130555555555555,161.30555555555554
10570,0,0,0,0,0,7,0,5,0,1,1,0,8,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,33,0,1,0,1,1,0,0,0,1,3,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,21,25,1,1.6818181818181819,4.153191489361703,98.7872340425532
10573,0,0,0,0,0,5,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,3,3,0,0,4,0,3,0,2,0,0,0,35,0,4,0,1,2,0,0,2,4,6,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,12,37,0,1.7058823529411764,4.255102040816326,275.9795918367347
10574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,4.1,241.0
10576,0,0,0,1,0,3,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,14,0,2,0,1,2,0,0,1,0,11,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,20,4,7,2.3333333333333335,3.374193548387097,38.903225806451616
10577,0,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,13,6,7,1.8,2.315384615384615,41.07692307692308
10578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0,4.0,86.0
10579,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,5,0,1,1,1,1,0,0,0,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,7,5,5,1.0,3.158823529411765,25.41176470588235
10580,0,0,0,0,0,2,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,1,1,0,1,28,0,3,0,0,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,0,0,0,0,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,19,22,2,2.05,4.188372093023257,83.6046511627907
10583,0,0,0,0,0,4,0,6,0,0,1,0,12,0,0,0,1,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,1,40,0,5,0,1,2,0,0,1,6,9,0,0,1,0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,35,0,2,0,0,0,0,0,0,0,26,30,1,2.0303030303030303,4.17017543859649,184.50877192982455
10588,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15,0,2,1,2,1,0,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,14,8,1,1.5714285714285714,3.8043478260869565,59.26086956521739
10589,0,0,0,0,0,3,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,22,0,2,1,1,1,0,0,0,4,4,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,25,0,1,0,0,0,0,0,0,0,23,10,4,1.5555555555555556,3.697297297297297,59.67567567567568
10590,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,2,2,0,0,0,3,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,14,5,7,1.75,2.8499999999999996,20.346153846153847
10591,0,0,0,0,0,3,0,6,0,0,0,0,13,0,0,0,1,0,0,0,0,4,4,0,0,0,0,3,0,1,0,0,0,46,0,2,0,0,3,0,0,1,4,2,0,0,1,0,0,2,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0,0,25,33,1,1.8529411764705883,4.11864406779661,224.83050847457628
10594,0,0,0,0,0,4,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,2,3,0,0,0,0,3,0,0,1,0,0,27,0,0,0,0,4,0,0,0,3,2,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,23,0,0,0,0,0,0,0,0,0,13,23,2,1.55,4.11842105263158,117.92105263157895
10595,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,14,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,8,8,14,1.5555555555555556,2.4033333333333338,49.4
10596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,5,2,0,1.25,4.171428571428571,56.0
