zipcode,name,place_id,price_level,rating,user_ratings_total,searched_keyword,searched_zipcode,location_lat,location_lng,compound_code,global_code,art_gallery,atm,bakery,bar,beauty_salon,bicycle_store,book_store,cafe,car_dealer,car_repair,car_wash,clothing_store,convenience_store,department_store,drugstore,electronics_store,establishment,finance,florist,food,funeral_home,furniture_store,gas_station,general_contractor,grocery_or_supermarket,hair_care,hardware_store,health,home_goods_store,jewelry_store,laundry,liquor_store,local_government_office,locksmith,lodging,meal_delivery,meal_takeaway,movie_rental,night_club,park,parking,pet_store,pharmacy,point_of_interest,premise,restaurant,school,shoe_store,shopping_mall,spa,storage,store,supermarket,tourist_attraction,travel_agency,population,population_density_square_miles,housing_units,home_price_to_income_ratios,price_level*rating,avg_price_level_by_zipcode,avg_rating_by_zipcode,avg_user_ratings_total_by_zipcode,total_number_of_bars_by_zipcode,total_number_of_cafes_by_zipcode,user_ratings_total_per_capita,rating_weighed_population_density,open_now_False,open_now_True,open_now_nan
10022,Staples,ChIJR2xx1OJYwokRSvq1vAXu_5g,2.0,3.2,69,stores,10022,40.755759000000005,-73.971131,Q24H+8G New York,87G8Q24H+8G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,31125,72810.3,24206,6.858595037048528,6.4,2.2115384615384617,4.035937500000001,565.546875,10,20,0.002216867469879518,232992.96000000002,0,1,0
10451,Applebee's Grill + Bar,ChIJkdKNctT1wokRIDyxYd0CKcM,2.0,4.1,1557,restaurant,10451,40.8216987,-73.92976309999999,"R3CC+M3 The Bronx, New York",87G8R3CC+M3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,47798,46447.4,19884,4.688634556204834,8.2,1.4166666666666667,3.9301886792452843,384.0188679245283,6,15,0.03257458471065735,190434.34,0,1,0
11385,Platz Hardware True Value,ChIJXWspi5xewokRdHHLCbQPqX8,,4.7,79,stores,11385,40.7079826,-73.90353379999998,"P35W+5H Ridgewood, Queens, NY",87G8P35W+5H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,106717,29513.3,38325,8.052753214043536,,1.5609756097560976,4.23448275862069,400.1896551724138,5,20,0.0007402756824123616,138712.51,0,1,0
11205,Khim's Millennium Market Viii,ChIJE_1Dl8BbwokR_tHtBv0PhYQ,,3.8,74,stores,11205,40.6935762,-73.96327480000001,M2VP+CM New York,87G8M2VP+CM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,46064,48748.8,17664,12.608450306835016,,1.7352941176470589,4.2980769230769225,267.7307692307692,4,13,0.0016064605765890934,185245.44,0,1,0
11435,Sutphin Trading Depot Inc,ChIJyXVdPsVgwokRSmEr7mQNJFY,,5.0,1,stores,11435,40.7020584,-73.8078577,P52R+RV New York,87G8P52R+RV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,59296,38792.2,19742,6.137065817807321,,1.380952380952381,4.199999999999999,204.02439024390245,2,8,1.6864543982730707e-05,193961.0,1,0,0
10014,Diane von Furstenberg,ChIJXeuRiMBZwokRdVXbrAq3-KI,4.0,4.5,32,stores,10014,40.74149209999999,-74.00728620000001,PXRV+H3 New York,87G7PXRV+H3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,30738,55916.6,21531,8.602617672846186,18.0,2.1702127659574466,4.367241379310345,458.86206896551727,13,19,0.0010410566725226104,251624.69999999998,0,1,0
11218,Koha & Brothers Halal Meat & Food Market,ChIJ1V5fMy9bwokRJMdK9-uzaGs,,4.6,57,stores,11218,40.6439483,-73.97707510000002,J2VF+H5 New York,87G8J2VF+H5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,74508,52159.7,26025,10.82042786141324,,1.6176470588235294,4.048148148148147,162.22222222222223,3,14,0.0007650185215010469,239934.61999999997,0,1,0
10309,SKECHERS Retail,ChIJJeZstke1w4kR5qpaoGHeCQY,2.0,4.4,99,stores,10309,40.530088299999996,-74.23242239999998,"GQJ9+22 Staten Island, New York",87G7GQJ9+22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,33531,5037.6,11875,5.526532590259269,8.8,1.5483870967741935,4.131914893617021,220.5531914893617,4,9,0.002952491724076228,22165.440000000002,0,1,0
10457,Frank's Sports Shop,ChIJhT8v-2X0wokRBbtsNyzf06k,,4.2,383,stores,10457,40.8472436,-73.9000551,"R3WX+VX The Bronx, New York",87G8R3WX+VX,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,74554,70392.0,25867,13.7345003646973,,1.2380952380952381,3.8729166666666672,214.22916666666666,2,8,0.005137215977680607,295646.4,0,1,0
11215,Daisy's Diner,ChIJuxcv-PxawokR7WLhmKVt1bk,2.0,4.0,672,restaurant,11215,40.669018200000004,-73.9867448,"M297+J8 Brooklyn, New York",87G8M297+J8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,70156,32256.2,30920,9.212432130632854,8.0,1.872340425531915,4.262711864406779,321.8135593220339,4,20,0.009578653286960488,129024.8,0,1,0
