zipcode,total_accounting,total_airport,total_amusement_park,total_art_gallery,total_atm,total_bakery,total_bank,total_bar,total_beauty_salon,total_bicycle_store,total_book_store,total_bowling_alley,total_cafe,total_campground,total_car_dealer,total_car_rental,total_car_repair,total_car_wash,total_casino,total_cemetery,total_church,total_clothing_store,total_convenience_store,total_courthouse,total_dentist,total_department_store,total_doctor,total_drugstore,total_electrician,total_electronics_store,total_finance,total_fire_station,total_florist,total_food,total_funeral_home,total_furniture_store,total_gas_station,total_general_contractor,total_grocery_or_supermarket,total_gym,total_hair_care,total_hardware_store,total_health,total_home_goods_store,total_hospital,total_insurance_agency,total_jewelry_store,total_laundry,total_library,total_liquor_store,total_local_government_office,total_locksmith,total_lodging,total_meal_delivery,total_meal_takeaway,total_movie_rental,total_movie_theater,total_moving_company,total_museum,total_natural_feature,total_night_club,total_painter,total_park,total_parking,total_pet_store,total_pharmacy,total_place_of_worship,total_plumber,total_post_office,total_primary_school,total_real_estate_agency,total_restaurant,total_roofing_contractor,total_route,total_rv_park,total_school,total_shoe_store,total_shopping_mall,total_spa,total_stadium,total_storage,total_store,total_subpremise,total_supermarket,total_tourist_attraction,total_train_station,total_transit_station,total_travel_agency,total_university,total_veterinary_care,total_zoo,total_open_now_False,total_open_now_True,total_open_now_nan,mean_price_level,mean_rating,mean_user_ratings_total,population,population_density_square_miles,housing_units,price_level*rating,user_ratings_total_per_capita,rating_weighed_population_density,log_home_price_to_income_ratios
12885,0,0,0,0,1,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,1,1,0,1,25,0,2,1,0,3,0,0,1,1,7,0,0,2,0,0,1,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,20,0,3,0,0,0,0,0,0,0,27,6,3,1.3076923076923077,4.294444444444443,124.27777777777777,4432,61.7,2721,5.6158119658119645,0.028041014841556355,264.9672222222222,1.177923394433453
11507,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,1,0,0,15,0,0,0,0,3,0,0,0,2,3,0,0,1,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,24,0,1,0,0,0,0,0,1,0,20,9,2,1.6666666666666667,3.8548387096774195,49.58064516129032,7286,6751.8,2513,6.424731182795699,0.006804919731168037,26027.100000000002,1.6449609284337179
14589,0,0,0,0,1,1,0,5,0,0,0,0,2,0,1,0,5,0,0,0,0,2,3,0,0,0,0,1,0,0,1,0,0,24,0,0,2,0,3,0,0,3,2,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,27,0,1,0,0,0,0,0,0,0,27,6,5,1.5384615384615383,3.731578947368421,115.84210526315788,7426,169.5,3285,5.740890688259109,0.015599529391753013,632.5026315789473,0.8048865205946871
10028,0,0,0,0,0,2,0,6,1,0,1,0,16,0,0,0,1,0,0,0,0,10,6,0,0,1,0,3,0,4,1,0,0,46,0,5,0,1,2,0,1,0,7,8,0,0,1,0,0,1,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,51,0,0,0,0,0,0,0,0,0,35,35,1,1.9166666666666667,4.146478873239436,308.5633802816901,47793,152562.2,28983,7.947417840375587,0.0064562463181154165,632595.9391549296,2.2757786127901447
13825,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,9,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,9,3,6,1.0,3.261111111111111,42.055555555555564,3193,56.4,1507,3.261111111111111,0.01317117305216272,183.92666666666665,1.0138831871522218
13830,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,3,1,1.3636363636363635,3.753333333333333,145.0,5196,47.0,2891,5.118181818181817,0.027906081601231716,176.40666666666664,0.718762241657448
12416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,,0.0,0.0,281,55.3,224,,0.0,0.0,2.407364044227222
12486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,1,2.0,3.72,25.4,1558,459.3,630,7.44,0.01630295250320924,1708.5960000000002,0.8495516311778621
13493,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,7,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,7,3,6,1.0,3.41875,32.9375,1792,24.0,882,3.41875,0.018380301339285716,82.05000000000001,0.5790543212584114
10312,0,0,0,0,0,4,0,5,0,0,0,0,8,0,0,0,1,1,0,0,0,1,4,0,0,0,0,4,0,1,1,0,0,29,0,2,0,1,2,0,0,0,4,3,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,11,26,0,1.6521739130434785,3.9864864864864864,162.05405405405406,61741,8143.6,22465,6.5863689776733265,0.0026247397038281542,32464.351351351354,1.6954248932717577
