zipcode,name,open_now,place_id,rating,user_ratings_total,price_level,searched_keyword,searched_zipcode,location_lat,location_lng,compound_code,global_code,art_gallery,atm,bakery,bank,bar,beauty_salon,bicycle_store,book_store,bowling_alley,cafe,car_dealer,car_repair,car_wash,clothing_store,convenience_store,dentist,department_store,drugstore,electronics_store,establishment,finance,florist,food,furniture_store,gas_station,general_contractor,grocery_or_supermarket,gym,hair_care,hardware_store,health,home_goods_store,hospital,insurance_agency,jewelry_store,laundry,liquor_store,locksmith,lodging,meal_delivery,meal_takeaway,movie_rental,movie_theater,moving_company,night_club,park,parking,pet_store,pharmacy,plumber,point_of_interest,premise,real_estate_agency,restaurant,school,shoe_store,shopping_mall,spa,storage,store,supermarket,tourist_attraction,veterinary_care
11275,Lankershim Train Depot,True,ChIJPXX0Ou6VwoARLuKXyTDNG1Y,4.4,26.0,,coffee shops,91601,34.1683177,-118.3774962,"5J9F+82 Los Angeles, California",85635J9F+82,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
91502,Barnes & Noble,True,ChIJj7c45ESVwoARyF5DReSs7nM,4.6,881.0,2.0,stores,91502,34.185098,-118.315149,"5MPM+2W Burbank, California",85635MPM+2W,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
90033,Thai Deli,True,ChIJIYjdxQ3GwoARZn_qmCgK9F4,4.7,531.0,1.0,restaurant,90033,34.0504813,-118.215125,"3Q2M+5W Los Angeles, California",85633Q2M+5W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
91791,Misky Misky Cocina Peruana,True,ChIJQwhuaQEpw4AROzK1pAjUJF0,4.5,1036.0,2.0,restaurant,91723,34.073896,-117.873311,"34FG+HM West Covina, California",856434FG+HM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
21540,Luna Grill,True,ChIJoeO1mStL3YARfbNRLOieWzI,4.4,212.0,2.0,restaurant,90503,33.832798,-118.350779,"RJMX+4M Torrance, California",8553RJMX+4M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
91103,Cafe Santorini,True,ChIJwXtVZnHDwoARmmuuJnypDgc,4.4,646.0,2.0,restaurant,91103,34.146552,-118.15188,"4RWX+J6 Pasadena, California",85634RWX+J6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
90221,Sunnys Chinese Food,True,ChIJj4c0zaTMwoARvqEzaaG8IU8,4.7,53.0,2.0,restaurant,90221,33.8884311,-118.1943737,"VRQ4+97 Compton, California",8553VRQ4+97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
13455,Ulta Beauty,True,ChIJg8ueNIa6woARlOrmIPiMKK0,4.5,138.0,,stores,90292,33.9866627,-118.442094,"XHP5+M5 Marina Del Rey, California",8553XHP5+M5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
90028,The Home Depot,True,ChIJXarDG06_woARnQ7Q8uKnTt4,4.0,1900.0,1.0,stores,90028,34.0975245,-118.3125068,"3MXP+2X Hollywood, Los Angeles, CA",85633MXP+2X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
93543,Joshua Liquor & Deli & Jr Market,True,ChIJzQtZsf_-woARiWr1wJlQX0s,4.8,9.0,,restaurant,93543,34.5426775,-117.974035,"G2VG+39 Littlerock, California",8564G2VG+39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
91106,Amigo's Restaurant and Cantina,True,ChIJRbxBDVvDwoARXsq8KdTh8J8,4.3,528.0,2.0,restaurant,91106,34.1457579,-118.1281849,"4VWC+8P Pasadena, California",85634VWC+8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
91506,Guns Direct,True,ChIJ2ThI0mCVwoARy05M1y6ozKw,4.6,135.0,,stores,91506,34.1753891,-118.3252282,"5MGF+5W Burbank, California",85635MGF+5W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
12739,Rite Aid,True,ChIJFSXghp6RwoARE6Qd1orEc04,3.3,30.0,2.0,stores,91331,34.275399,-118.410974,"7HGQ+5J Pacoima, Los Angeles, CA",85637HGQ+5J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
90270,Mariscos bahia,True,ChIJSX0V5MDOwoARRSXq7iqVjTw,4.4,253.0,2.0,restaurant,90270,33.9834043,-118.1864436,"XRM7+9C Maywood, California",8553XRM7+9C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
16602,Greenbean Coffee House,False,ChIJS6HfAfORy4kRtWX7OcSZo2w,4.9,611.0,1.0,coffee shops,91724,40.5165579,-78.3927478,"GJ84+JW Altoona, Logan Township, PA",87G3GJ84+JW,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
90274,Lunada Bay Hardware,True,ChIJ89GhR15M3YARNGI3usXlqXs,4.9,32.0,,stores,90274,33.7749809,-118.4178645,"QHFJ+XV Palos Verdes Estates, California",8553QHFJ+XV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
91104,El Pollo Unico,True,ChIJDS9vdD_DwoARnp_hfPu4JQs,4.6,353.0,1.0,restaurant,91104,34.1584619,-118.1328789,"5V58+9R Pasadena, California",85635V58+9R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
91367,Ruth's Chris Steak House,True,ChIJ6d1XZSCcwoARt3Yt_bUhXFU,4.6,538.0,4.0,restaurant,91367,34.181341,-118.60307,"59JW+GQ Woodland Hills, Los Angeles, CA",856359JW+GQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
90032,Lichas Flower Shop #2,True,ChIJVRE_NzTEwoARXhlTFyxQO-0,4.8,19.0,,stores,90032,34.0864116,-118.1860335,"3RP7+HH Los Angeles, California",85633RP7+HH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
90502,Popeyes Louisiana Kitchen,True,ChIJ4fTS6ng13YARsak6hN6-i70,4.0,859.0,1.0,restaurant,90502,33.8110528,-118.2919611,"RP65+C6 Torrance, California",8553RP65+C6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
